Key,koreana
useSwitchLightOn,"[73E9B2][{0}][-] 켜기"
npcTooltipTalk,"[73E9B2][{0}][-] {1} 과(와) 대화"
pickupCrops,"[73E9B2][{{0}}][-] {1} {0}개 수확"
pickupPrompt,"[73E9B2][{{0}}][-] {0} 줍기"
xuiVendingWithOwner,"자판기\n[808080]({0})[-]"
xuiLockAmmo,"켜기"
xuiUnlockAmmo,"끄기"
activeBlockPrompt,"{0}\n[73E9B2](활성화)[-]"
inactiveBlockPrompt,"{0}\n[808080](비활성화)[-]"
blockcommand_aim,"조준"
blockcommand_confirm,"위치 확정"
blockcommand_do_nothing,"아무것도 하지 않음"
blockcommand_fuel_add,"용기에 담기"
blockcommand_fuel_take,"용기에서 꺼내기"
uiNull,""
uiActionFillFrom,"[73E9B2][{0}][-] {1} 추출"
uiActionFillTo,"[73E9B2][{0}][-] {1} 채우기"
uiActionTake,"[73E9B2][{0}][-] {1} 가져오기"
uiActionUse,"[73E9B2][{0}][-] {1} 사용"
uiActionUntouched,"\n[73E9B2](손대지 않음)[-]"
uiAll,"전체"
uiAllResearch,"모든 연구"
uiAmmo,"탄약"
uiAmmunition,"탄약"
uiArmor,"갑옷"
uiAttention,"주의"
uiBackpack,"배낭"
uiBasicCrafting,"제작"
uiBiomeName,"바이옴 이름"
uiBloodMoon,"블러드 문"
uiCantPickUpFuelNotEmpty,"작업대의 연료 슬롯이 비어 있지 않습니다!"
uiCantPickUpInputNotEmpty,"작업대의 투입 슬롯이 비어 있지 않습니다!"
uiCantPickUpOutputNotEmpty,"작업대의 산출물 슬롯이 비어 있지 않습니다!"
uiCantPickUpQueueNotEmpty,"작업대의 대기열이 비어 있지 않습니다!"
uiCantPickUpToolsNotEmpty,"작업대 도구의 슬롯이 비어 있지 않습니다!"
uiClothing,"의복"
uiClothingArmorMods,"의복/갑옷 개조"
uiColorPickerHex,"색상 (Hex)"
uiColorPickerRGB,"색상 (RGB)"
uiConfirmPlacement,"[73E9B2][{{0}}][-] 위치 확정"
uiCopy,"복사"
uiCopyIDToClipboard,"아이템 ID를 클립보드로 복사합니다."
uiCrafted,"제작"
uiCraftedIn,"제작 "
uiCraftingOutput,"산출물"
uiCraftingQueue,"제작 대기열"
uiCraftingQueueAndOutput,"제작 대기열/산출물"
uiCrouching,"앉기"
uiDescription,"설명"
uiDetails,"세부 내용"
ui_door_prefix," ("
ui_door_suffix,")"
ui_door_bottom,"아래쪽 문"
ui_door_left,"왼쪽 문"
ui_door_middle,"중간 문"
ui_door_right,"오른쪽 문"
ui_door_top,"위쪽 문"
ui_drawer_bottom,"아래쪽 서랍"
ui_drawer_left,"왼쪽 서랍"
ui_drawer_left_bottom,"왼쪽 아래 서랍"
ui_drawer_left_middle,"왼쪽 중간 서랍"
ui_drawer_left_top,"왼쪽 위 서랍"
ui_drawer_middle,"중간 서랍"
ui_drawer_right,"오른쪽 서랍"
ui_drawer_right_bottom,"오른쪽 아래 서랍"
ui_drawer_right_middle,"오른쪽 중간 서랍"
ui_drawer_right_top,"오른쪽 위 서랍"
ui_drawer_top,"위쪽 서랍"
ui_drawer_top_middle,"위쪽 중간 서랍"
uiExplosives,"폭발물"
uiExplosivesAndMines,"폭발물과 지뢰"
uiFeatureInProgress,"현재 개발 진행중인 기능입니다.\n부분적으로 작동하거나, 아예 작동하지 않을 수 있습니다."
uiFoodAndDrinks,"음식과 음료"
uiGameContinue,"게임 계속하기"
uiGameNew,"새 게임"
uiGrowing,"자라는 중 "
uiHeaderCrafting,"제작"
uiHeaderCharacter,"캐릭터"
uiHeaderMap,"지도"
uiHeaderSkills,"스킬"
uiHeaderQuests,"퀘스트"
uiHeaderJournal,"일지"
uiHeaderPlayers,"플레이어"
uiHeaderCreative,"창작 모드"
uiIngredientHave,", 보유: "
uiIngredientInclModded,"개조 부품 장착됨"
uiIngredientNeed,"\n필요: "
uiIngredientRetrieve,"\n회수 가능: "
uiInspectLockSlot,"L키로 인벤토리 슬롯을 잠금"
uiInspectStackSingle,"아이템을 하나씩 버릴 수 있음"
uiInspectStackSplit,"드래그하여 반 묶음 씩 선택"
uiInspectStackSwap,"아이템 한 묶음을 교체, 버리기"
uiInspectStackTake,"드래그해서 아이템 한 묶음 선택"
uiInspectStackView,"아이템, 제작법, 활성 효과 보기"
uiInventory,"인벤토리"
uiLevelShort,"LVL"
uiLockpicksLeft,"[decea3]{1}[-]이 [decea3]{0}[-]개 남아있습니다."
uiLockpicksLeftNone,"인벤토리에 [decea3]{0}[-]이 없습니다."
uiLockpicksTooltipKB,"[73E9B2][{0}][-], [73E9B2][{1}][-] 키나 [73E9B2][{2}][-] 버튼을 누른 채로 [73E9B2]마우스 커서[-]를 움직여 [decea3]{3}[-]을 조정하고 [73E9B2]{4}[-]를 눌러 자물쇠를 따세요."
uiLockpicksTooltipGP,"[73E9B2][{0}][-], [73E9B2][{1}][-] 키를 눌러 [decea3]{2}[-]을 조정하세요. 그리고 [73E9B2][{3}][-]를 눌러 자물쇠를 따세요."
uiMapBedroll,"저장 위치"
uiMapCursor,"마우스 커서 좌표"
uiMapInfo,"정보"
uiMapPlayer,"플레이어 현재 위치"
uiMapWaypoint,"웨이 포인트"
uiMaterial,"분해"
uiMiscellaneous,"잡화"
uiMods,"개조"
uiMovementSpeed,"이동 속도"
uiMovementState,"이동 상태"
uiNoPower,"동력 없음"
uiNoSellPrice,"판매 가격 없음"
uiNoUpgradesForBlock,"블록을 강화할 수 없습니다."
uiPatchNotes,"뉴스와 최신 패치노트"
uiPlayerEffects,"적용 효과"
uiPlayerPreview,"캐릭터 미리보기"
uiPlayerStats,"상태창"
uiPlayerStatsCore,"중요 스탯"
uiPlayerStatsMore,"세부 정보"
uiPlayerStatsLess,"숨기기"
uiPlayerStatsAdvanced,"추가 정보"
uiPrefabName,"프리팹 이름"
uiPricePrefix,"$"
uiPrimaryMaterial,"주요 재료"
uiQuality,"등급"
uiQuality1,"F A U L T Y"
uiQuality2,"C O M M O N"
uiQuality3,"U N C O M M O N"
uiQuality4,"R A R E"
uiQuality5,"E P I C"
uiQuality6,"L E G E N D A R Y"
uiQualityPrefix1,"FAULTY"
uiQualityPrefix2,"COMMON"
uiQualityPrefix3,"UNCOMMON"
uiQualityPrefix4,"RARE"
uiQualityPrefix5,"EPIC"
uiQualityPrefix6,"LEGENDARY"
uiQuestsShared,"공유 퀘스트"
uiRadiation,"방사능"
uiRayHitBlockName,"블록 이름"
uiRayHitTileEntity,"타일 엔터티"
uiRepairItem,"수리 재료"
uiRequires,"요구"
uiRequiredMaterials,"필요 재료"
uiRequiredTool,"필요 도구"
uiResistances,"저항력"
uiRetrievableComponents,"회수 가능한 부품"
uiRunning,"달리기"
uiScrapped,"분해 가능"
uiScrappedIn,"분해 가능 "
uiScrapMaterial,"분해 재료"
uiSearch,"조사"
uiServiceInfo,"서비스 정보"
uiSettings,"설정"
uiShowOnMap,"맵에 표시"
ui_skill_buy,"레벨 업"
ui_skill_cost,"레벨 업 비용"
ui_skill_exp,"스킬 경험치"
ui_skill_level,"현재 레벨"
ui_skill_points,"스킬 포인트"
uiSkillPoint,"스킬 포인트"
uiSkillPoints,"스킬 포인트"
ui_skill_points_available,"사용 가능한 스킬 포인트"
uiSkillPointsName,"스킬 포인트"
uiSkillBuy,"레벨 업"
uiSkillPointShort,"포인트"
uiSkillPointsShort,"포인트"
uiSortName,"이름 순 정렬(오름순)"
uiSortGroup,"유형 순 정렬(오름순)"
uiSortPrice,"가격 순 정렬(역순)"
uiSortWeight,"무게 순 정렬(역순)"
uiSPCostNext,"필요 포인트 : "
uiSpeedKMH," km/h"
uiSpeedMPH," mph"
uiStorage,"저장소"
uiStorageCompartment,"영역"
uiStorageCompartments,"영역"
uiToggleSearch,"검색"
uiTransferAll,"가방의 모든 아이템을\n보관함으로 옮깁니다."
uiTransferStackables,"가방의 겹칠 수 있는 아이템만\n보관함으로 옮깁니다."
uiType,"유형"
uiUnderwater,"수중"
uiUnlockedBy,"잠금 해제"
uiUnknownIngredient,"알려지지 않은 재료"
uiUnlearned,"아직 배우지 않음"
uiUnpinPinnedRecipe,"제작법 고정 해제"
uiValue,"가치"
uiVehicleCargo,"적재 중량"
uiVehicleSeats,"좌석 수"
uiVehicleSlots,"적재 칸 수"
uiVehicleConsumption,"소비"
uiVehicleFuelEfficiency,"연비"
uiVehicleSpeed,"속도"
uiVehicleSpeedTurbo,"최고 가속 속도"
uiVehicleTank,"연료 탱크"
uiVersionNewAvailable,"업데이트 가능"
uiWalking,"걷기"
uiWeaponsMelee,"근접 무기"
uiWeaponsMeleeAndTools,"근접 무기와 도구"
uiWeaponsRanged,"원거리 무기"
uiWeight,"무게"
uiServerVersionMissmatch,"Undead Legacy 클라이언트 버전이 서버의 버전과 다릅니다."
uiServerVersionUnknown,"[ff0000]알려지지 않음[-]"
statAccuracy,"정확도"
statAlcohol,"취기"
statAlcoholMax,"최대 취기"
statArmorRating,"갑옷 등급"
statAttackSpeed,"공격 속도"
statAttacksPerMinute,"근접 공격 속도"
statBlockDamage,"블록 데미지"
statBlocksLight,"블록 광량"
statCarbs,"탄수화물"
statCarbsMax,"최대 탄수화물"
statCondition,"내구도"
statCoreTemp,"체온"
statCraftingTier,"제작 티어"
statCraftingTime,"제작 시간"
statCraftingSpeed,"제작 속도"
statCurrentLife,"현재 생존"
statDamage,"데미지"
statDeaths,"죽은 횟수"
statDismemberChance,"사지 절단 확률"
statDurability,"내구도"
statDurabilityMax,"최대 내구도"
statDurabilityUse,"내구도 소모 배수"
statEfficiency,"연료 효율"
statTravelled,"여행한 거리"
statDysenteryChance,"이질 감염 확률"
statEncumbered,"과적"
statEncumbrance,"과적"
statEncumbranceBonus,"추가 운반 한계"
statExpRate,"XP 보너스"
statExpToNextLevel,"남은 XP"
statFat,"지방"
statFatMax,"최대 지방"
statFireRate,"발사 속도"
statFood,"포만감"
statFoodMax,"최대 포만감"
statFoodRate,"소화 속도"
statFuel,"연료"
statGas,"가스"
statHandling,"조작"
statHealing,"회복"
statHealth,"체력"
statHealthMax,"최대 체력"
statHealthRegen,"체력 재생량"
statItemsCrafted,"제작한 아이템 수"
statJumpStrength,"점프력"
statKilledPlayers,"처치한 플레이어 수"
statKilledZombies,"처치한 좀비 수"
statLoad,"하중"
statLongestLife,"최장 생존"
statMagazineSize,"탄약"
statMobility,"이동 속도"
statModificationSlots,"슬롯"
statPoisonChance,"식중독 감염 확률"
statPower,"전력"
statPowerEfficiency,"전력 효율"
statProtein,"단백질"
statProteinMax,"최대 단백질"
statRange,"사거리"
statRecoil,"반동"
statReloadSpeed,"재장전 속도"
statResistBleeding,"출혈 저항"
statResistCold,"추위 저항"
statResistDiseases,"질병 저항"
statResistInfection,"감염 저항"
statResistFallDamage,"낙하 데미지 감소"
statResistHeat,"더위 저항"
statResistPhysical,"물리 저항"
statResistRadiation,"방사능 저항"
statResistStun,"기절 저항"
statResistToxic,"독 저항"
statRoundsPerMinute,"범위 공격 속도"
statStamina,"스태미너"
statStaminaMax,"최대 스태미너"
statStaminaRegen,"스태미너 재생량"
statStopsBleeding,"지혈"
statStopsLaceration,"열상 치료"
statStopsBrokenLimbs,"골절 치료"
statTreasureRadius,"보물 탐지 범위"
statVitamins,"비타민"
statVitaminsMax,"최대 비타민"
statWater,"수분"
statWaterMax,"최대 수분"
statWaterRate,"수분 감소 속도"
statWeight,"운반 무게"
statWeightMax,"최대 운반 무게"
statWellness,"건강함"
statWellnessMax,"최대 건강함"
statWellnessRate,"건강함 비율"
tt_belongs_to_other_player,"이 아이템은 다른 사람 소유입니다."
tt_empty_before_pickup,"줍기 전에 안을 비워야 합니다."
tt_container_is_full,"꽉 찼습니다. 더 채울 수 없습니다."
tt_not_enough_substance,"이걸 채우기에는 충분하지 않습니다."
tt_no_compatible_items,"상호작용 가능한 물건을 들고 있지 않습니다."
type1hAxes,"한손 도끼"
type1hBlades,"한손 검"
type1hBlunt,"한손 둔기"
type1hKnives,"한손 단검"
type2hAxes,"한손 도끼"
type2hMelee,"양손 도끼"
typeadvBuilding,"고급 건축"
typeAmmo,"탄약"
typeAmmoWeapons,"탄약/무기"
typeAmmunition,"탄약"
typeApparel,"의류"
typeArmor,"갑옷"
typeBasics,"기초"
typeBladeLong,"장검"
typeBladeShort,"단검"
typeBlunt,"둔기"
typeBluntLong,"긴 둔기"
typeBluntShort,"짧은 둔기"
typeBooks,"책"
typeBows,"활"
typeBuilding,"건축"
typeCFChemicals,"화학 용품"
typeCFFoodCooking,"음식"
typeChemicals,"화학 용품"
typeChemicalComposite,"화학 합성물"
typeClothing,"의복"
typeClubs,"곤봉"
typeConstructionTools,"건축 도구"
typeCraftingMisc,"제작/잡화"
typeCrossbows,"석궁"
typeCutting,"절단 | 채광"
typeDecorMiscellaneous,"잡화"
typeDecorative,"장식"
typeDigging,"발굴"
typeDrinks,"음료"
typeDrugs,"약품"
typeDyeMods,"염색약"
typeExplosives,"폭발물"
typeFirearms,"화기"
typeFood,"음식"
typeFoodCooking,"음식/요리"
typeGrenades,"수류탄"
typeGun,"화기"
typeGuns,"화기"
typeHandTools,"수공구"
typeHealth,"체력"
typeHeavyArmor,"중갑옷"
typeItem,"아이템"
typeJunk,"쓰레기"
typeLightArmor,"경갑옷"
typeMedical,"의약품"
typeMedicine,"의약품"
typeMediumArmor,"평갑옷"
typeMelee,"근접"
typeMachineGuns,"기관총"
typeMinesExplosives,"지뢰/폭발물"
typeMaintenance,"수리 및 강화 도구"
typeMiningTools,"채광 도구"
typeMissions,"퀘스트 아이템"
typeMisc,"잡화"
typeMods,"개조 부품"
typePistols,"권총"
typePainting,"도색"
typePolearms,"폴암"
typePortableTurrets,"휴대용 포탑"
typePowered,"전동"
typePoweredCutting,"전동 절단 도구"
typePoweredDigging,"전동 발굴 도구"
typePoweredMining,"전동 채광 도구"
typePoweredMiningDigging,"전동 채광/발굴 도구"
typeResearch,"연구"
typeQuality,"품질"
typeQualitySchematics,"품질 연구"
typeRanged,"원거리"
typeRangedGuns,"화기"
typeRangedWeapons,"원거리 무기"
typeResources,"재료"
typeSalvage,"분해"
typeScavenging,"약탈"
typeSchematics,"도면"
typeScience,"과학"
typeSeeds,"작물 씨앗"
typeSecretStash,"뒷거래"
typeShortBlade,"단검"
typeShotguns,"샷건"
typeSniperRifles,"저격용 소총"
typeSpawnPoint,"스폰 지점"
typeSpecialItems,"퀘스트 아이템"
typeStorage,"저장소"
typeSniperRifles,"저격용 소총"
typeSubmachineGuns,"기관단총"
typeTerrain,"지형"
typeThrowable,"투척"
typeToolParts,"도구 부품"
typeTools,"도구"
typeToolsTraps,"도구/함정"
typeTrade,"거래"
typeVehicles,"차량"
typeWeapons,"무기"
typeWorkstations,"작업대"
typeWorkstationTools,"작업대 도구"
twitchBounty,"현상금"
headerDisplay,"디스플레이"
headerQuality,"품질"
headerUI,"인터페이스"
headerVideo,"비디오 설정"
groupAll,"전체"
groupAmmo,"탄약"
groupAmmoWeapons,"탄약/무기"
groupBasics,"기초"
groupBars,"봉 & 트러스재"
groupBuilding,"건축"
groupClothing,"의복"
groupContainers,"용기"
groupDecorMisc,"장식/잡화"
groupFirstAid,"응급 치료"
groupFrames,"프레임 블록"
groupFoodCooking,"음식/요리"
groupGrenades,"수류탄"
groupHeavyArmor,"중갑옷"
groupLightArmor,"경갑옷"
groupMediumArmor,"평갑옷"
groupMinesExplosives,"지뢰/폭발물"
groupMods,"개조 부품"
groupResources,"재료"
groupScience,"과학"
groupSeeds,"씨앗"
groupStorage,"보관함"
groupTools,"도구"
groupToolsTraps,"도구/함정"
groupWorkstations,"작업대"
groupWorkstationTools,"작업대 도구"
ulm_loot_biker_1,"떨어진 전리품"
ulm_loot_biker_2,"떨어진 전리품"
ulm_loot_biker_3,"떨어진 전리품"
ulm_loot_boss_1,"떨어진 전리품"
ulm_loot_boss_2,"떨어진 전리품"
ulm_loot_boss_3,"떨어진 전리품"
ulm_loot_burnt_1,"떨어진 전리품"
ulm_loot_burnt_2,"떨어진 전리품"
ulm_loot_burnt_3,"떨어진 전리품"
ulm_loot_business_1,"떨어진 전리품"
ulm_loot_business_2,"떨어진 전리품"
ulm_loot_business_3,"떨어진 전리품"
ulm_loot_cheerleader_1,"떨어진 전리품"
ulm_loot_cheerleader_2,"떨어진 전리품"
ulm_loot_cheerleader_3,"떨어진 전리품"
ulm_loot_common_1,"떨어진 전리품"
ulm_loot_common_2,"떨어진 전리품"
ulm_loot_common_3,"떨어진 전리품"
ulm_loot_cop_1,"떨어진 전리품"
ulm_loot_cop_2,"떨어진 전리품"
ulm_loot_cop_3,"떨어진 전리품"
ulm_loot_farmer_1,"떨어진 전리품"
ulm_loot_farmer_2,"떨어진 전리품"
ulm_loot_farmer_3,"떨어진 전리품"
ulm_loot_fat_1,"떨어진 전리품"
ulm_loot_fat_2,"떨어진 전리품"
ulm_loot_fat_3,"떨어진 전리품"
ulm_loot_football_1,"떨어진 전리품"
ulm_loot_football_2,"떨어진 전리품"
ulm_loot_football_3,"떨어진 전리품"
ulm_loot_hazmat_1,"떨어진 전리품"
ulm_loot_hazmat_2,"떨어진 전리품"
ulm_loot_hazmat_3,"떨어진 전리품"
ulm_loot_lab_1,"떨어진 전리품"
ulm_loot_lab_2,"떨어진 전리품"
ulm_loot_lab_3,"떨어진 전리품"
ulm_loot_mini_boss_1,"떨어진 전리품"
ulm_loot_mini_boss_2,"떨어진 전리품"
ulm_loot_mini_boss_3,"떨어진 전리품"
ulm_loot_nurse_1,"떨어진 전리품"
ulm_loot_nurse_2,"떨어진 전리품"
ulm_loot_nurse_3,"떨어진 전리품"
ulm_loot_snow_1,"떨어진 전리품"
ulm_loot_snow_2,"떨어진 전리품"
ulm_loot_snow_3,"떨어진 전리품"
ulm_loot_skater_1,"떨어진 전리품"
ulm_loot_skater_2,"떨어진 전리품"
ulm_loot_skater_3,"떨어진 전리품"
ulm_loot_soldier_1,"떨어진 전리품"
ulm_loot_soldier_2,"떨어진 전리품"
ulm_loot_soldier_3,"떨어진 전리품"
ulm_loot_special_1,"떨어진 전리품"
ulm_loot_special_2,"떨어진 전리품"
ulm_loot_special_3,"떨어진 전리품"
ulm_loot_stripper_1,"떨어진 전리품"
ulm_loot_stripper_2,"떨어진 전리품"
ulm_loot_stripper_3,"떨어진 전리품"
ulm_loot_utility_1,"떨어진 전리품"
ulm_loot_utility_2,"떨어진 전리품"
ulm_loot_utility_3,"떨어진 전리품"
videoAntiAliasing,"안티 앨리어싱"
videoAntiAliasingDesc,"객체에서 들쭉날쭉한 모서리를 제거합니다."
videoBloom,"블룸 효과"
videoBloomDesc,"광원 주변의 빛이 강조됩니다.\n[decea3][성능 영향: 중간][-]"
videoDepthOfField,"피사계 심도"
videoDepthOfFieldDesc,"멀리 있는 물체는 흐리게 보입니다.\n[decea3][성능 영향: 중간][-]"
videoFieldOfView,"시야 범위(FOV)"
videoFieldOfViewDesc,"시야각을 조절합니다.\n[decea3][성능 영향: 낮음][-]"
videoFullscreen,"전체 화면"
videoFullscreenDesc,"전체 화면 또는 창 모드로 게임을 실행합니다.\n[decea3][성능 영향: 중간][-]"
videoBrightness,"밝기"
videoBrightnessDesc,"게임의 밝기를 조정합니다.\n[decea3][성능 영향: 없음][-]"
videoGrassDistance,"식생 표현 거리"
videoGrassDistanceDesc,"식생을 볼 수 있는 최대 거리 설정입니다.\n[decea3][성능 영향: 중간][-]"
videoJournalPopup,"일지 팝업 여부"
videoJournalPopupDesc,"툴팁 대신 새 일지 항목이 추가되면 창을 띄웁니다."
videoLODDistance,"LOD 표현 거리"
videoLODDistanceDesc,"세계가 표시되는 전체 최대 상세 수준입니다.\n[decea3][성능 영향: 높음][-]"
videoMotionBlur,"모션 블러"
videoMotionBlurDesc,"모션 블러의 품질을 결정합니다.\n(더 많은 픽셀 표본과 부드러움 설정)\n[decea3][성능 영향: 높음][-]"
videoOcclusion,"오클루전"
videoOcclusionDesc,"보이지 않는 객체는 표현하지 않습니다.\n실내에서 성능을 향상시켜줍니다.\n게임 플레이 중에는 변경이 불가능합니다.\n[decea3][성능 영향: 중간][-]"
videoQualityPreset,"품질 설정 프리셋"
videoQualityPresetDesc,"전체적인 그래픽 품질을 결정합니다. 거의 모든 설정을 변경합니다.\n[decea3][성능 영향: 높음][-]"
videoReflectedShadows,"그림자 반사 품질"
videoReflectedShadowsDesc,"그림자가 반사 내부에서 처리되고 표시됩니다.\n[decea3][성능 영향: 높음][-]"
videoReflectionQuality,"반사 품질"
videoReflectionQualityDesc,"반사 효과가 얼마나 깔끔한지 결정합니다.\n좀 더 사실적인 빛 표현을 제공해 줍니다.\n[decea3][성능 영향: 매우 높음][-]"
videoResolution,"해상도"
videoResolutionDesc,"게임이 표시되는 화면 해상도를 설정합니다.\n[decea3][성능 영향: 매우 높음][-]"
videoScreenBounds,"UI 여백"
videoScreenBoundsDesc,"UI가 화면에서 사용하는 범위를 제한합니다."
videoShadowsDistance,"그림자 표현 거리"
videoShadowsDistanceDesc,"객체의 그림자 품질과 표시되는 거리를 설정합니다.\n[decea3][성능 영향: 높음][-]"
videoSSAO,"SSAO"
videoSSAODesc,"객체에 더 자세한 그림자를 표현하는 SSAO를 사용합니다.\n[decea3][성능 영향: 중간][-]"
videoSSReflections,"SS 반사"
videoSSReflectionsDesc,"스크린 스페이스 반사 옵션을 사용합니다.\n[decea3][성능 영향: 높음][-]"
videoStreamingMipmapsEnabled,"텍스쳐 스트리밍"
