Key,English
TwitchAction_Give4x4Military,"Gives a Military 4x4"
TwitchAction_Give4x4MilitaryDesc,"Adds a [decea3]Military 4x4[-] in the inventory"
TwitchAction_GiveSedan,"Gives a Sedan"
TwitchAction_GiveSedanDesc,"Adds a Black [decea3]Classic Sedan[-] in the inventory"
TwitchAction_GiveSUV,"Gives a SUV"
TwitchAction_GiveSUVDesc,"Adds a Black [decea3]SUV[-] in the inventory"
TwitchAction_GiveGyrocopter,"Gives a Gyrocopter"
TwitchAction_GiveGyrocopterDesc,"Adds a [decea3]Gyrocopter[-] in the inventory"
TwitchAction_GiveHelicopter,"Gives a Helicopter"
TwitchAction_GiveHelicopterDesc,"Adds a [decea3]Raven Helicopter[-] in the inventory"

TwitchAction_SpawnBadCops,"Bad Cop Horde"
TwitchAction_SpawnBadCopsDesc,"Spawns 3 Zombie Strippers and 3 Cops (Normal, Feral and Radiated)."
TwitchAction_SpawnBear,"Bear"
TwitchAction_SpawnBearDesc,"Spawns a single bear."
TwitchAction_SpawnBearZombie,"Zombie Bear"
TwitchAction_SpawnBearZombieDesc,"Spawns a single zombie bear."
TwitchAction_SpawnBearZombieHorde,"Zombie Bear Horde"
TwitchAction_SpawnBearZombieHordeDesc,"Spawns 3 Zombie Bears."
TwitchAction_SpawnBiker,"Biker Zombie"
TwitchAction_SpawnBikerDesc,"Spawns a single Biker zombie."
TwitchAction_SpawnBirds,"Bird Horde"
TwitchAction_SpawnBirdsDesc,"Spawns 4 normal vultures and 1 radiated vulture."
TwitchAction_SpawnBoar,"Boar"
TwitchAction_SpawnBoarDesc,"Spawns a single boar."
TwitchAction_SpawnBusted,"Wanted"
TwitchAction_SpawnBustedDesc,"Spawns 6 zombies: a normal and a feral cop, a normal and a feral soldiers and two demolition zombies."
TwitchAction_SpawnCop,"Cop Zombie"
TwitchAction_SpawnCopDesc,"Spawns a single Cop zombie."
TwitchAction_SpawnCoyote,"Coyote"
TwitchAction_SpawnCoyoteDesc,"Spawns a single coyote."
TwitchAction_SpawnCrawler,"Crawler Zombie"
TwitchAction_SpawnCrawlerDesc,"Spawns a single crawler zombie."
TwitchAction_SpawnCrawlers,"Crawler Horde"
TwitchAction_SpawnCrawlersDesc,"Spawns 5 crawlers"
TwitchAction_SpawnDemo,"Demolition Zombie"
TwitchAction_SpawnDemoDesc,"Spawns a single Demolition zombie."
TwitchAction_SpawnDemoSquad,"Demolition Zombie Horde"
TwitchAction_SpawnDemoSquadDesc,"Spawns 6 Demolition Zombies"
TwitchAction_SpawnDireWolf,"Dire Wolf"
TwitchAction_SpawnDireWolfDesc,"Spawns a single dire wolf."
TwitchAction_SpawnDog,"Zombie dog"
TwitchAction_SpawnDogDesc,"Spawns a single zombie dog."
TwitchAction_SpawnFeral,"Feral Zombie"
TwitchAction_SpawnFeralDesc,"Spawns a single Feral zombie."
TwitchAction_SpawnHounds,"Hound Horde"
TwitchAction_SpawnHoundsDesc,"Spawns 5 zombie dogs."

TwitchAction_SpawnHungry,"Big Mama Zombie"
TwitchAction_SpawnHungryDesc,"Spawns a single Big Mama zombie."

TwitchAction_SpawnLion,"Lion"
TwitchAction_SpawnLionDesc,"Spawns a single lion."
TwitchAction_SpawnNormal,"Normal Zombie"
TwitchAction_SpawnNormalDesc,"Spawns a normal zombie."
TwitchAction_SpawnNurses,"Nurse Horde"
TwitchAction_SpawnNursesDesc,"Spawns 6 zombie nurses."
TwitchAction_SpawnRad,"Radiated Zombie"
TwitchAction_SpawnRadDesc,"Spawns a single Radiated zombie."
TwitchAction_SpawnScreamer,"Screamer Zombie"
TwitchAction_SpawnScreamerDesc,"Spawns a single Screamer zombie."
TwitchAction_SpawnScreamerFeral,"Feral Screamer Zombie"
TwitchAction_SpawnScreamerFeralDesc,"Spawns a single Feral Screamer zombie."
TwitchAction_SpawnScreamerRad,"Radiated Screamer Zombie"
TwitchAction_SpawnScreamerRadDesc,"Spawns a single Radiated Screamer zombie."
TwitchAction_SpawnSnake,"Snake"
TwitchAction_SpawnSnakeDesc,"Spawns a single snake."
TwitchAction_SpawnSnakes,"Snake Horde"
TwitchAction_SpawnSnakesDesc,"Spawns 6 snakes!"
TwitchAction_SpawnSoldier,"Soldier Zombie"
TwitchAction_SpawnSoldierDesc,"Spawns a single Soldier zombie."
TwitchAction_SpawnSpider,"Spider Zombie"
TwitchAction_SpawnSpiderDesc,"Spawns a single Spider zombie."
TwitchAction_SpawnVulture,"Vulture"
TwitchAction_SpawnVultureDesc,"Spawns a single vulture."
TwitchAction_SpawnVultureRad,"Radiated Vulture"
TwitchAction_SpawnVultureRadDesc,"Spawns a single Radiated vulture."
TwitchAction_SpawnWight,"Wight"
TwitchAction_SpawnWightDesc,"Spawns a single Wight."
TwitchAction_SpawnWolf,"Wolf"
TwitchAction_SpawnWolfDesc,"Spawns a single wolf."

TwitchAction_SupplyFuel,"Fuel Supply"
TwitchAction_SupplyFuelDesc,"Spawns a crate with a little bit of fuel."


