Key,german
xuiInventory,"Inventar"
xuiItemsCrafted,"herg. Gegenstände"
xuiJournal,"Tagebuch"
xuiLongestLife,"Längstes Leben"
xuiLevel,"Stufe"
xuiMap,"Karte"
xuiModifiers,"Modifikatoren"
xuiNoSellPrice," "
xuiObjectives,"Ziele"
xuiOptionsDynamicMesh,"Dynamische Meshes"
xuiOptionsVideoDistanceCustom,"Custom"
xuiParty,"Gruppe"
xuiPing,"Ping"
xuiPlayerKills,"Spieler Kills"
xuiPlayers,"Spieler"
xuiPlayerShow,"anzeigen"
xuiPointsAvailable,"[decea3]"
xuiPrefabEditor,"Prefab Editor"
xuiQuests,"Aufträge"
xuiRewards,"Belohnungen"
xuiRewardsNotAvailable,"Belohnungen nicht verfügbar."
xuiRwgCountyName,"Welt Name"
xuiRwgPreviewer,"World Generator"
xuiRwgWorldSeed,"Seed"
xuiSellPrice,"$"
xuiSharedWaypoints,"Geteilt"
xuiSign,"Text ändern"
xuiSkillBuy,"Aktivieren"
xuiSkillNerfedEffect,"[FF6A00]Die Fertigkeit erfüllt eine oder mehrere Anforderungen nicht[-]"
xuiSkills,"Fertigkeiten"
xuiSkillList,"Fertigkeiten"
xuiSteamID,"Steam ID"
xuiVehicleStorage,"Fahrzeuglager"
xuiVoice,"Stimme"
xuiWater,"Wasser"
xuiWaypoints,"Wegpunkte"
xuiWorldEditor,"World Editor"
xuiWPskills,"Fertigkeiten"
xuiXPToNextLevel,"Exp bis LvL-Up"
xuiZombieKills,"Zombie Kills"
inpActSkillsName,"Fertigkeiten"
inpActSkillsDesc,"Fertigkeiten öffnen"
uiLoadStartingGame,"Bitte warten...\nVorräte plündern"
uiLoadLoadingXml,"Bitte warten...\nSuchen nach Überlebenden"
uiLoadCreatingWorld,"Bitte warten...\nUntote abwehren"
uiLoadCreatingPlayer,"Bitte warten...\nRäuber abwehren"
msgBuildingEnvironment,"Bitte warten...\nSchutz suchen"
msgGeneratingDistantTerrain,"Bitte warten...\nFerngläser suchen"
msgStartingGame,"Bitte warten...\nErz schmelzen"
uiLoadWaitingForServer,"Bitte warten...\nVorbereitung auf die Horde"
waitingForServer,"Bitte warten...\nNach Nahrung suchen"
questBlockActivate,"[73E9B2][{{0}}][-] Aktivieren {1}"
questRallyActivate,"[73E9B2][{{0}}][-] Beginne Auftrag\n[decea3] ({1} )[-]"
itemTooltipFocusedOne,"[73E9B2][{0}][-] Nehmen {1}"
itemTooltipFocusedSeveral,"[73E9B2][{0}][-] Nehmen {1} ({2})"
forgeActivate,"[73E9B2][{0}][-] Schmiede öffnen"
useCampfire,"[73E9B2][{0}][-] Benutzen"
useForge,"[73E9B2][{0}][-] Benutzen"
useSecureDoor,"[73E9B2][{0}][-] Benutzen"
useDoor,"[73E9B2][{0}][-] Benutzen"
useOpen,"[73E9B2][{0}][-] Öffnen"
useClose,"[73E9B2][{0}][-] Schließen [73E9B2][{0}][-]"
useWorkstation,"[73E9B2][{0}][-] Benutzen"
lootAccess,"[73E9B2][{0}][-] Zugriff {1}"
lootEntity,"[73E9B2][{0}][-] Suchen {1}"
lootTooltipEmpty,"[73E9B2][{0}][-] Öffnen {1}\n[808080](Leer)[-]"
lootTooltipNew,"[73E9B2][{0}][-] Suchen {1}\n[73E9B2](Unberührt)[-]"
lootTooltipTouched,"[73E9B2][{0}][-] Öffnen {1}"
lootVehicleEmpty,"[73E9B2][{0}][-] Öffnen {1}{2}\n[808080](Leer)[-]"
lootVehicleNew,"[73E9B2][{0}][-] Suchen {1}{2}\n[73E9B2](Unberührt)[-]"
lootVehicleTouched,"[73E9B2][{0}][-] Öffnen {1}{2}"
lootVehicleSecureJammed,"[73E9B2][{0}][-] Benutzen {1}{2}\n[808080](Verklemmt)[-]"
lootVehicleSecureLocked,"[73E9B2][{0}][-] Benutzen {1}{2}\n[808080](Verriegelt)[-]"
lootVehicleSecureUnlocked,"[73E9B2][{0}][-] Benutzen {1}{2}\n[808080](Entriegelt)[-]"
tooltipJammed,"[73E9B2][{0}][-] Benutzen {1}\n[808080](Verklemmt)[-]"
tooltipLocked,"[73E9B2][{0}][-] Benutzen {1}\n[808080](Verriegelt)[-]"
tooltipUnlocked,"[73E9B2][{0}][-] Benutzen {1}\n[808080](Entriegelt)[-]"
useBlock,"[73E9B2][{0}][-] Benutzen {1}"
editLabel,"[73E9B2][{0}][-] Text ändern"
useElevator,"[73E9B2][{0}][-] Verwendung [808080](Etage {1})[-]"
lootItem,"[73E9B2][{0}][-] Aufnehmen {1}"
tooltipInteract,"[73E9B2][{0}][-] Benutzen {1}"
vendingMachineActivate,"[73E9B2][{0}][-] Benutzen {1}"
useSwitchLightOff,"[73E9B2][{0}][-] Ausschalten"
useSwitchLightOn,"[73E9B2][{0}][-] Einschalten"
npcTooltipTalk,"[73E9B2][{0}][-] Mit {1} sprechen"
pickupCrops,"[73E9B2][{{0}}][-] Ernten {0} {1}"
pickupPrompt,"[73E9B2][{{0}}][-] Aufnehmen {0}"
xuiVendingWithOwner,"Verkaufsmaschine\n[808080]({0})[-]"
xuiLockAmmo,"Einschalten"
xuiUnlockAmmo,"Ausschalten"
activeBlockPrompt,"{0}\n[73E9B2](Aktiv)[-]"
inactiveBlockPrompt,"{0}\n[808080](Inaktiv)[-]"
blockcommand_aim,"Zielen"
blockcommand_confirm,"Platzierung bestätigen"
blockcommand_do_nothing,"Nichts tun"
blockcommand_fuel_add,"In Behälter füllen"
blockcommand_fuel_take,"Aus Behälter entnehmen"
blockcommand_repair,"Reparieren"
blockcommand_pick1,"Schlossknacken\n[808080](Dietrich)[-]"
blockcommand_pick2,"Schlossknacken\n[808080](Haarnadel)[-]"
uiNull,""
uiActionFillFrom,"[73E9B2][{0}][-] Auffüllen {1}"
uiActionFillTo,"[73E9B2][{0}][-] Hinzufügen {1}"
uiActionTake,"[73E9B2][{0}][-] Nehmen {1}"
uiActionUse,"[73E9B2][{0}][-] Benutzen {1}"
uiActionUntouched,"\n[73E9B2](Unberührt)[-]"
uiAll,"Alle"
uiAllResearch,"Alle Forschungen"
uiAmmo,"Munition"
uiAmmoAndExplosives,"Munition/Sprengstoff"
uiAmmunition,"Munition"
uiArmor,"Rüstung"
uiAttention,"Achtung"
uiBackpack,"Rucksack"
uiBasicCrafting,"Basis Items"
uiBiomeName,"Biome Name"
uiBloodMoon,"Blutmond"
uiBlockName,"{0}"
uiBlockAndMaterialName,"{1} / {0}"
uiBooksSchematics,"Bücher und Schemata"
uiBuffs,"Buffs"
uiCantPickUpFuelNotEmpty,"Treibstoffslots nicht leer!"
uiCantPickUpInputNotEmpty,"Input-Slots nicht leer!"
uiCantPickUpOutputNotEmpty,"Output nicht leer!"
uiCantPickUpQueueNotEmpty,"Warteschlange nicht leer!"
uiCantPickUpToolsNotEmpty,"Tools-Slots nicht leer!"
uiClothing,"Kleidung"
uiClothingAndArmor,"Kleidung und Rüstung"
uiClothingArmorMods,"Kleidung/Rüstung Mods"
uiColorPickerHex,"Farbe (Hex)"
uiColorPickerRGB,"Farbe (RGB)"
uiConfirmPlacement,"[73E9B2][{{0}}][-] Platzierung bestätigen"
uiContainer,"Behälter"
uiCopy,"Kopieren"
uiCopyIDToClipboard,"ID kopieren"
uiCrafted,"Hergestellt"
uiCraftedIn,"Station"
uiCraftingFuel,"Treibstoff"
uiCraftingOutput,"Output"
uiCraftingQueue,"Warteschlange"
uiCraftingQueueAndOutput,"Warteschlange/Output"
uiCraftingTools,"Werkzeuge"
uiCraftOutput,"Output"
uiCrouching,"Hockend"
uiDescription,"Beschreibung"
uiDetails,"Details"
uiDifficulty,"Schwierigkeitsgrad"
ui_door_prefix," ("
ui_door_suffix,")"
ui_door_bottom,"Untere Tür"
ui_door_left,"Linke Tür"
ui_door_middle,"Mittlere Tür"
ui_door_right,"Rechte Tür"
ui_door_top,"Obere Tür"
ui_drawer_bottom,"Untere Schublade"
ui_drawer_left,"Linke Schublade"
ui_drawer_left_bottom,"Linke untere Schublade"
ui_drawer_left_middle,"Linke mittlere Schublade"
ui_drawer_left_top,"Linke obere Schublade"
ui_drawer_middle,"Mittlere Schublade"
ui_drawer_right,"Rechte Schublade"
ui_drawer_right_bottom,"Rechte untere Schublade"
ui_drawer_right_middle,"Rechte mittlere Schublade"
ui_drawer_right_top,"Rechte obere Schublade"
ui_drawer_top,"Obere Schublade"
ui_drawer_top_middle,"Obere mittlere Schublade"
uiExplosives,"Sprengstoffe"
uiExplosivesAndMines,"Sprengstoffe und Minen"
uiFeatureInProgress,"Work in progress, Funktion in Entwicklung.\n Funktioniert noch nicht, oder nur teilweise."
uiFoodAndDrinks,"Essen und Trinken"
uiGameContinue,"Spiel fortsetzen"
uiGameNew,"Neues Spiel"
uiGameSettingsBasic,"Basic"
uiGameSettingsAdvanced,"Advanced"
uiGameSettingsExpert,"Expert"
uiGameSettingsMultiplayer,"Multiplayer"
uiGrowing,"Wachsen "
uiHeaderCrafting,"Handwerk"
uiHeaderCharacter,"Charakter"
uiHeaderMap,"Karte"
uiHeaderSkills,"Fortschritt"
uiHeaderQuests,"Aufträge"
uiHeaderJournal,"Tagebuch"
uiHeaderPlayers,"Spieler"
uiHeaderCreative,"Kreativ"
uiIngredientHave,", Besitz: "
uiIngredientInclModded,"inkl. Modifikation"
uiIngredientNeed,"\nBedarf: "
uiIngredientRetrieve,"\nWiederverwertbar: "
uiInspectLockSlot,"Inventarplatz (ent-) sperren"
uiInspectStackSingle,"1x Gegenstand ablegen"
uiInspectStackSplit,"Halten und ziehen = halber Stapel"
uiInspectStackSwap,"Stapel ablegen oder tauschen"
uiInspectStackTake,"Halten und ziehen = Stapel nehmen"
uiInspectStackView,"Gegenstand auswählen"
uiInteractWithBlock,"Interagieren {0}"
uiInventory,"Inventar"
uiItemNotFound,"Fehlendes Item [73E9B2]{0}[-]"
uiItemRequired,"Erfordert {0}"
uiLevelShort,"LVL"
uiLockAutoPick,"Auto-Pick"
uiLockAutoPickChance,"Auto-Pick-Chance: [decea3]{0}%[-]"
uiLockVeryEasy,"Sehr leicht"
uiLockEasy,"Leicht"
uiLockAverage,"Durchschnittlich"
uiLockHard,"Schwer"
uiLockVeryHard,"Sehr schwer"
uiLockExtremelyHard,"Extrem schwer"
uiLockImpossible,"Unmöglich"
uiLockpickingInsufficient,"Schlossknacken [FF1919]{0}[-] nicht hoch genug für dieses Schloss [decea3]{1}[-]."
uiLockpickingSkillLevel,"Schlossknacken"
uiLockpickingLockLevel,"Schloss"
uiLockpicksLeft,"[decea3]{0} {1}[-] übrig"
uiLockpicksLeftNone,"Du hast keine [decea3]{0}[-] in deinem Inventar."
uiLockpicksTooltipKB,"Nutze [73E9B2][{0}][-] oder [73E9B2][{1}][-] oder halte [73E9B2][{2}][-] gedrückt und ziehe den [73E9B2][Mouse Cursor][-], um [decea3]{3}[-] zu bewegen. Versuche das [73E9B2][{4}][-] zu öffnen."
uiLockpicksTooltipGP,"Verwenden Sie die Tasten [73E9B2][{0}][-] oder [73E9B2][{1}][-], um die [decea3]{2}[-] zu bewegen. Versuchen Sie dann mit [73E9B2][{3}][-] zu entsperren."
uiMapBedroll,"Speicherpunkt"
uiMapCursor,"Cursor"
uiMapInfo,"Info"
uiMapPlayer,"Standort"
uiMapWaypoint,"Wegpunkt"
uiMapWaypoints,"Wegpunkte"
uiMapWaypointsPersonal,"Persönlich"
uiMapWaypointsShared,"Geteilt"
uiMaterial,"Material"
uiMax,"Max"
uiMiscellaneous,"Sonstiges"
uiMissingIngredients,"[decea3]Fehlende Zutaten[-]"
uiMissingScrapWires,"Du hast keinen [decea3]Drahtschrott[-] in deinem Inventar"
uiMods,"Mods"
uiMovementSpeed,"Geschwindigkeit"
uiMovementState,"Bewegungszustand"
uiNoPower,"Keine Energie"
uiNoSellPrice,"Kein Verkaufspreis"
uiNoUpgradesForBlock,"Block kann nicht aufgewertet werden"
uiPatchNotes,"Neuigkeiten und aktuelle Patchnotizen"
uiOr,"oder"
uiPerkPoints,"Freie Punkte"
uiPlayerEffects,"Effekte"
uiPlayerPreview,"Charaktervorschau"
uiPlayerHidePreview,"Charaktervorschau ausblenden"
uiPlayerStats,"Status"
uiPlayerStatsCore,"Hauptwerte"
uiPlayerStatsMore,"Mehr Details"
uiPlayerStatsLess,"Weniger Details"
uiPlayerStatsAdvanced,"Erweiterte Details"
uiPowerOutput,"Leistung"
uiPowerRemainingFuel,"Treibstoff"
uiPowerUsed,"Verwendet"
uiPrefabName,"Prefab Name"
uiPricePrefix,"$"
uiPrimaryMaterial,"Primäres Material"
uiQuality,"Qualität"
uiQuality1,"F A U L T Y"
uiQuality2,"K O M M O N"
uiQuality3,"U N K O M M O N"
uiQuality4,"R A R E"
uiQuality5,"E P I C"
uiQuality6,"L E G E N D A R Y"
uiQualityPrefix1,"FEHLERHAFT"
uiQualityPrefix2,"GEWÖHNLICH"
uiQualityPrefix3,"UNGEWÖHNLICH"
uiQualityPrefix4,"SELTEN"
uiQualityPrefix5,"EPISCH"
uiQualityPrefix6,"LEGENDÄR"
uiQuestsShared,"Geteilt"
uiRadiation,"Strahlung"
uiRayHitBlockName,"Block Name"
uiRayHitTileEntity,"Tile Entity"
uiRepair,"Reparatur"
uiRepairable,"Reparierbar"
uiRepairCost,"Reparaturkosten"
uiRepairItem,"Repariert mit"
uiRequires,"Erfordert"
uiRequiredMaterials,"Erforderliche Materialien"
uiRequiredTool,"Erforderliches Werkzeug"
uiResistance,"Widerstand"
uiResistances,"Widerstände"
uiRestrictedArea,"Eingeschränkter Bereich"
uiRetrievableComponents,"Wiedergewinnbare Komponenten"
uiRunning,"Rennen"
uiScrapped,"Verschrottet"
uiScrappedIn,"Verschrottet in "
uiScrapMaterial,"Verschrottetes Material"
uiSearch,"Suche"
uiServiceInfo,"Service Info"
uiSettings,"Einstellungen"
uiShowOnMap,"Auf Karte anzeigen"
uiSignEdit,"Text bearbeiten"
ui_skill_buy,"Stufenaufstieg"
ui_skill_cost,"Kosten Stufenaufstieg"
ui_skill_exp,"Erfahrung der Fertigkeit"
ui_skill_level,"Aktuelle Stufe"
ui_skill_points,"Skill-Punkte"
uiSkillPoint,"Skill-Punkt"
uiSkillPoints,"Skill-Punkte"
ui_skill_points_available,"Verfügbare Skill-Punkte"
uiSkillPointsName,"Skill-Punkte"
uiSkillBuy,"Stufenaufstieg"
uiSkillPointShort,"PT"
uiSkillPointsShort,"PTs"
uiSortName,"Nach Namen sortieren (ASC)"
uiSortGroup,"Nach Typ sortieren (ASC)"
uiSortPrice,"Sortieren nach Preis (DESC)"
uiSortWeight,"Sortieren nach Gewicht (DESC)"
uiSPCostNext,"Nächste Stufe: "
uiSpeedKMH," km/h"
uiSpeedMPH," mph"
uiStats,"Status"
uiStorage,"Lager"
uiStorageCompartment,"Bereich"
uiStorageCompartments,"Bereiche"
uiTabPersonal,"Persönlich"
uiTabShared,"Geteilt"
uiTeleportEW,"X (O/W)"
uiTeleportNS,"Z (N/S)"
uiToggleSearch,"Suche umschalten"
uiTotal,"Insgesamt: {0}"
uiTraps,"Fallen"
uiTransferAll,"Alle Gegenstände transferieren"
uiTransferAllToBag,"Alle Gegenstände mitnehmen"
uiTransferStackables,"Alle stapelbaren Gegenstände transferieren"
uiTransferStackablesToBag,"Alle stapelbaren Gegenstände mitnehmen"
uiType,"Typ"
uiUpgrade,"Upgrade"
uiUpgradeChance,"Upgrade-Chance"
uiUpgradeCost,"Upgrade-Kosten"
uiUpgradeFail,"[FF1919]Upgrade fehlgeschlagen[-]"
uiUpgradeMax,"Keine weiteren Upgrades möglich"
uiUpgradeSuccess,"[73E9B2]Upgrade erfolgreich[-]"
uiUpgradeRemoveMods,"[decea3]Upgrade mit installierten Mods nicht möglich[-]"
uiUpgradeRequiresRepairs,"[decea3]Gegenstand muss erst repariert werden[-]"
uiUnderwater,"Unterwasser"
uiUnlockedBy,"Freigeschaltet durch"
uiUnknownIngredient,"Unbekannte Zutat"
uiUnlearned,"Nicht erlernt"
uiUnpinPinnedRecipe,"Angeheftetes Rezept entfernen"
uiValue,"Wert"
uiVehicleCargo,"Lagerkapazität"
uiVehicleSeats,"Sitze"
uiVehicleSlots,"Lagerplätze"
uiVehicleConsumption,"Verbrauch"
uiVehicleFuelEfficiency,"Treibstoff-Effizienz"
uiVehicles,"Fahrzeuge"
uiVehicleSpeed,"Geschwindigkeit"
uiVehicleSpeedTurbo,"Turbo-Geschwindigkeit"
uiVehicleTank,"Treibstofftank"
uiVersionNewAvailable,"Update verfügbar"
uiWalking,"Laufen"
uiWeaponsMelee,"Nahkampfwaffen"
uiWeaponsMeleeAndTools,"Nahkampfwaffen und Werkzeuge"
uiWeaponsRanged,"Fernkampfwaffen"
uiWeight,"Gewicht"
uiServerVersionMissmatch,"Undead Legacy Client-Version stimmt nicht mit Server-Version überein"
uiServerVersionUnknown,"[ff0000]Unbekannt[-]"
statAccuracy,"Genauigkeit"
statAlcohol,"Alkohol"
statAlcoholMax,"Max. Alkohol"
statArmorRating,"Rüstungswert"
statAttackSpeed,"Angriffsgeschwindigkeit"
statAttacksPerMinute,"Nahkampf-Angriffsgeschwindigkeit"
statBlockDamage,"Block-Schaden"
statBlocksLight,"Blockt Licht"
statCarbs,"Kohlenhydrate"
statCarbsMax,"Max. Kohlenhydrate"
statCondition,"Zustand"
statCoreTemp,"Körpertemperatur"
statCraftingTier,"Handwerks-Stufe"
statCraftingTime,"Herstellungsdauer"
statCraftingSpeed,"Geschwindigkeit"
statCurrentLife,"Lebendig"
statDamage,"Schaden"
statDeaths,"Tode"
statDismemberChance,"Chance auf Verstümmelung"
statDurability,"Ausdauer"
statDurabilityMax,"Max. Haltbarkeit"
statDurabilityUse,"Multiplikator Haltbarkeitsverlust"
statEfficiency,"Wirkungsgrad"
statTravelled,"Gereist"
statDysenteryChance,"Dysenterie-Risiko"
statEncumbered,"Überladen"
statEncumbrance,"Belastbarkeit"
statEncumbranceBonus,"Zusätzliches Belastbarkeit"
statExpRate,"XP Bonus"
statExpToNextLevel,"XP bis Stufenaufstieg"
statFat,"Fett"
statFatMax,"Max. Fett"
statFireRate,"Feuerrate"
statFood,"Nahrung"
statFoodMax,"Max. Nahrung"
statFoodRate,"Nahrungsverbrauch"
statFuel,"Brennstoff"
statGas,"Gas"
statHandling,"Handhabung"
statHealing,"Heilung"
statHealth,"Gesundheit"
statHealthMax,"Max. Gesundheit"
statHealthRegen,"Gesundheits-Reg."
statItemsCrafted,"Hergestellte Gegenstände"
statJumpStrength,"Sprunghöhe"
statKilledPlayers,"Getötete Spieler"
statKilledZombies,"Getötete Zombies"
statLoad,"Last (Statik)"
statLockpicking,"Schlossknacken"
statLongestLife,"Rekord"
statLootStage,"Beutestufe"
statMagazineSize,"Magazin"
statMobility,"Beweglichkeit"
statModificationSlots,"Max. Mods"
statPoisonChance,"Risiko Lebensmittelvergiftung"
statPower,"Energie"
statPowerEfficiency,"Energie-Effizienz"
statProtein,"Eiweiß"
statProteinMax,"Max. Eiweiß"
statRange,"Reichweite"
statRecoil,"Rückstoß"
statReloadSpeed,"Nachladegeschwindigkeit"
statResistBleeding,"Bluten-Widerstand"
statResistCold,"Kälte-Widerstand"
statResistDiseases,"Krankheits-Widerstand"
statResistFallDamage,"Fallschaden-Reduktion"
statResistHeat,"Hitze-Widerstand"
statResistPhysical,"Physischer-Widerstand"
statResistRadiation,"Strahlungs-Widerstand"
statResistStun,"Betäubungs-Widerstand"
statResistToxic,"Gift-Widerstand"
statRoundsPerMinute,"Angriffsgeschwindigkeit Fernkampf"
statStamina,"Ausdauer"
statStaminaMax,"Max. Ausdauer"
statStaminaRegen,"Ausdauer-Reg."
statStopsBleeding,"Heilt Blutungen"
statStopsLaceration,"Heilt Wunden"
statStopsBrokenLimbs,"Heilt gebrochene Gliedmaßen"
statTreasureRadius,"Schatz-Radius"
statVitamins,"Vitamine"
statVitaminsMax,"Max. Vitamine"
statWater,"Wasser"
statWaterMax,"Max. Wasser"
statWaterRate,"Wasserverbrauch"
statWeight,"Gewicht"
statWeightMax,"Belastbarkeit"
statWellness,"Wohlbefinden"
statWellnessMax,"Max. Wohlbefinden"
statWellnessRate,"Wohlbefinden-Rate"
tt_belongs_to_other_player,"Dies gehört einer anderen Person"
tt_empty_before_pickup,"Es muss leer sein, bevor du es aufheben kannst."
tt_container_is_full,"Er ist voll, du kannst nichts mehr hinzufügen."
tt_not_enough_substance,"Nicht genug, um diesen Gegenstand aufzufüllen."
tt_no_compatible_items,"Ich habe nichts Kompatibles in der Hand, um damit zu interagieren."
type1hAxes,"Axt"
type1hBlades,"Klinge"
type1hBlunt,"Stumpf"
type1hKnives,"Messer"
type2hAxes,"Zweihand-Axt"
type2hMelee,"Zweihand-Nahkampf"
type4x4,"Auto | Fahrzeug"
typeadvBuilding,"Fortgeschritten"
typeAmmo,"Munition"
typeAmmoWeapons,"Munition/Waffe"
typeAmmunition,"Munition"
typeApparel,"Kleidung"
typeArmor,"Rüstung"
typeAutomotive,"Fahrzeuge"
typeBasics,"Grundlagen"
typeBatons,"Schlagstock"
typeBeams,"Strahl"
typeBicycles,"Fahrrad | Fahrzeug"
typeBladeLong,"Klinge"
typeBladeShort,"Klinge"
typeBlunt,"Stumpf"
typeBluntLong,"Stumpf"
typeBluntShort,"Stumpf"
typeBlocks,"Block"
typeBooks,"Buch"
typeBows,"Bogen"
typeBuilding,"Bauen"
typeBundles,"Gegenstands-Paket"
typeCandy,"Süßigkeiten"
typeCannedFood,"Konserven"
typeCars,"Auto | Fahrzeug"
typeCatwalks,"Laufsteg"
typeCFChemicals,"Chemikalien"
typeCFDrinkCooking,"Getränk"
typeCFFoodCooking,"Lebensmittel"
typeChemicals,"Chemisch"
typeChemicalComposite,"Chemischer Verbundstoff"
typeClothing,"Kleidung"
typeClubs,"Knüppel"
typeCollectors,"Ressourcensammler"
typeConsumables,"Verbrauchsmaterial"
typeConstructionTools,"Bauwerkzeug"
typeCookingTools,"Kochwerkzeug"
typeCorpses,"Leichen"
typeCraftingMisc,"Handwerk/Sonstiges"
typeCrops,"Ackerbau"
typeCrossbows,"Armbrust"
typeCutting,"Schneiden | Bergbau"
typeDebris,"Trümmer"
typeDecorMiscellaneous,"Sonstiges"
typeDecor,"Dekoration"
typeDecorative,"Dekorativ"
typeDigging,"Graben"
typeDiggingTools,"Grabe-Werkzeug"
typeDoors,"Tür"
typeDrinks,"Getränk"
typeDrugs,"Droge"
typeDyeMods,"Kosmetischer Farbstoff"
typeElectrical,"Elektrisch"
typeElectricalTools,"Verkabelungs-Werkzeug"
typeExplosives,"Sprengstoff"
typeFirearms,"Feuerwaffe"
typeFistWeapons,"Faustwaffe"
typeFood,"Lebensmittel"
typeFoodCooking,"Lebensmittel/Kochen"
typeFurniture,"Möbel/Dekoration"
typeGrenades,"Granate"
typeGun,"Waffe"
typeGuns,"Waffen"
typeGyroCopters,"GyroCopter | Fahrzeug"
typeHandTools,"Handwerkzeug"
typeHealth,"Gesundheit"
typeHeavyArmor,"Schwere Rüstung"
typeHelicopters,"Hubschrauber | Fahrzeug"
typeItem,"Gegenstand"
typeJunk,"Schrott"
typeKnives,"Messer"
typeLandMines,"Landmine | Gebäude"
typeLaunchers,"Raketenwerfer"
typeLightArmor,"Leichte Rüstung"
typeLighting,"Beleuchtung"
typeLoot,"Lagerung"
typeMedical,"Medizin"
typeMedicine,"Medizin"
typeMediumArmor,"Mittlere Rüstung"
typeMelee,"Nahkampf"
typeMeleeTools,"Nahkampf-Werkzeug"
typeMeleeWeapons,"Nahkampf-Waffe"
typeMachineGuns,"Maschinengewehr"
typeMinesExplosives,"Minen/Sprengstoff"
typeMinibikes,"Motorrad | Fahrzeug"
typeMotorcycles,"Motorrad | Fahrzeug"
typeChoppingTools,"Holzfäller-Werkzeug"
typeMaintenance,"Reparatur- und Aufrüstungswerkzeug"
typeMiningTools,"Bergbau-Werkzeug"
typeMissions,"Auftragsgegenstand"
typeMisc,"Sonstiges"
typeMods,"Gegenstand Mod"
typePainting,"Malerei"
typePaintingTools,"Maler-Werkzeug"
typePistols,"Pistole"
typePlumbing,"Klempnerarbeit"
typePolearms,"Stangenwaffe"
typePortableDrones,"Tragbare Drohne"
typePortableTurrets,"Tragbarer Geschützturm"
typePowered,"Angetrieben"
typePoweredCutting,"Angetriebenes Schneidwerkzeug"
typePoweredDigging,"Angetriebenes Grabe-Werkzeug"
typePoweredMining,"Angetriebenes Bergbauwerkzeug"
typePoweredMiningDigging,"Angetriebenes Mining/Digging Tool"
typeResearch,"Forschung"
typeQuality,"Qualität"
typeQualitySchematics,"Qualität Forschung"
typeRanged,"Fernkampf"
typeRangedGuns,"Waffe"
typeRangedWeapons,"Fernkampfwaffe"
typeRecipes,"Rezept"
typeResources,"Ressource"
typeRoadProps,"Straßendekoration"
typeRocketLaunchers,"Raketenwerfer"
typeSalvage,"Bergung"
typeSalvageTools,"Bergungswerkzeug"
typeScavenging,"Plündern"
typeSchematics,"Schema"
