Key,polish
uiContainer,"Pojemnik"
uiCopy,"Kopiuj"
uiCopyIDToClipboard,"Kopiuj ID do schowka"
uiCrafted,"Wytwarzanie:"
uiCraftedIn,"Wytwarzanie:"
uiCraftingFuel,"Paliwo"
uiCraftingOutput,"Wyjście"
uiCraftingQueue,"Kolejka wytwarzania"
uiCraftingQueueAndOutput,"Kolejka/Wyjście"
uiCraftingTools,"Narzędzia"
uiCraftOutput,"Efekt wytwarzania"
uiCrouching,"Przykucnięty"
uiDescription,"Opis"
uiDetails,"Szczegóły"
uiDifficulty,"Poziom trudności"
ui_door_prefix," ("
ui_door_suffix,")"
ui_door_bottom,"Dolne drzwi"
ui_door_left,"Lewe drzwi"
ui_door_middle,"Środkowe drzwi"
ui_door_right,"Prawe drzwi"
ui_door_top,"Górne drzwi"
ui_drawer_bottom,"Dolna szuflada"
ui_drawer_left,"Lewa szuflada
ui_drawer_left_bottom,"Lewa dolna szuflada"
ui_drawer_left_middle,"Lewa środkowa szuflada"
ui_drawer_left_top,"Lewa górna szuflada"
ui_drawer_middle,"Środkowa szuflada"
ui_drawer_right,"Prawa szuflada"
ui_drawer_right_bottom,"Prawa dolna szuflada"
ui_drawer_right_middle,"Prawa środkowa szuflada"
ui_drawer_right_top,"Górna prawa szuflada"
ui_drawer_top,"Górna szuflada"
ui_drawer_top_middle,"Górna środkowa szuflada"
uiExplosives,"Materiały wybuchowe"
uiExplosivesAndMines,"Materiały wybuchowe i miny"
uiFeatureInProgress,"Funkcja jest obecnie w stanie rozwoju.\nMoże nie działać w ogóle lub częściowo."
uiFoodAndDrinks,"Jedzenie i napoje"
uiGameContinue,"Kontynuuj grę"
uiGameNew,"Nowa gra"
uiGameSettingsBasic,"Podstawowe"
uiGameSettingsAdvanced,"Zaawansowane"
uiGameSettingsExpert,"Expert"
uiGameSettingsMultiplayer,"Gra wieloosobowa"
uiGrowing,"Rośnie"
uiHeaderCrafting,"Wytwarzanie"
uiHeaderCharacter,"Postać"
uiHeaderMap,"Mapa"
uiHeaderSkills,"Postęp"
uiHeaderQuests,"Misje"
uiHeaderJournal,"Dziennik"
uiHeaderPlayers,"Gracze"
uiHeaderCreative,"Tryb kreatywny"
uiIngredientHave,", Masz: "
uiIngredientInclModded,"W tym zmodyfikowane"
uiIngredientNeed,"\nPotrzeba: "
uiIngredientRetrieve,"\nOdzyskasz: "
uiInspectLockSlot,"Aby zablokować slot ekwipunku"
uiInspectStackSingle,"Aby upuścić tylko jeden przedmiot"
uiInspectStackSplit,"Przytrzymaj i przeciągnij, aby wziąć pół stosu"
uiInspectStackSwap,"Aby upuścić lub zamienić stos"
uiInspectStackTake,"Przytrzymaj i przeciągnij, aby wziąć stos"
uiInspectStackView,"Aby sprawdzić przedmiot, przepis lub aktywny efekt"
uiInsufficientStationLevel,"Niewystarczający Poziom Stacji"
uiInteractWithBlock,"Użyj z {0}"
uiInventory,"Ekwipunek"
uiItemNotFound,"Brakujący przedmiot [73E9B2]{0}[-]"
uiItemRequired,"Wymaga {0}"
uiLevelShort,"LVL"
uiLockAutoPick,"Automatyczne otwieranie"
uiLockAutoPickChance,"Szansa automatycznego otwierania: [decea3]{0}%[-]"
uiLockVeryEasy,"Bardzo łatwy"
uiLockEasy,"Łatwy"
uiLockAverage,"Średni"
uiLockHard,"Trudny"
uiLockVeryHard,"Bardzo trudny"
uiLockExtremelyHard,"Niezwykle trudny"
uiLockImpossible,"Niemożliwy"
uiLockpickingInsufficient,"Twój poziom otwierania zamków [FF1919]{0}[-] jest niewystarczający aby otworzyć zamek z trudnością [decea3]{1}[-]"
uiLockpickingSkillLevel,"Otwieranie zamków"
uiLockpickingLockLevel,"Zamek"
uiLockpicksLeft,"Pozostało Ci [decea3]{0} {1}[-]"
uiLockpicksLeftNone,"Nie posiadasz żadnych [decea3]{0}[-] w ekwipunku."
uiLockpicksTooltipKB,"Uzyj klawiszy [73E9B2][{0}][-] lub [73E9B2][{1}][-] albo przytrzymaj [73E9B2][{2}][-] i przeciągnij [73E9B2][Mouse Cursor][-] aby przesunąć [decea3]{3}[-]. Następnie [73E9B2][{4}][-] spróbuj otworzyć zamek."
uiLockpicksTooltipGP,"Uzyj [73E9B2][{0}][-] lub [73E9B2][{1}][-] klawiszy aby przesunąć [decea3]{2}[-]. Następnie [73E9B2][{3}][-] spróbuj otworzyć zamek."
uiMapBedroll,"Punkt zapisu"
uiMapCursor,"Kursor"
uiMapInfo,"Info"
uiMapPlayer,"Pozycja"
uiMapWaypoint,"Punkt orientacyjny"
uiMapWaypoints,"Punkty orientacyjne"
uiMapWaypointsPersonal,"Własne"
uiMapWaypointsShared,"Udostępnione"
uiMaterial,"Materiał"
uiMax,"Max"
uiMenuSupport,"Donacje i Social Media"
uiMiscellaneous,"Różne"
uiMissingIngredients,"[decea3]Brakujące składniki[-]"
uiMissingScrapWires,"Nie posiadasz [decea3]Drutu[-] w swoim ekwipunku."
uiMods,"Modyfikatory"
uiMovementSpeed,"Prędkość poruszania"
uiMovementState,"Stan poruszania"
uiNoPower,"Brak zasilania"
uiNoSellPrice,"Brak ceny sprzedaży"
uiNoUpgradesForBlock,"Blok nie może zostać ulepszony"
uiPatchNotes,"Nowości/ostatnie zmiany"
uiOr,"lub"
uiPerkPoints,"Punkty talentów"
uiPinIngredients,"Przypnij komponenty"
uiPlantNeedsMoreLight,"\n[FF6A00]Nie rośnie, wymaga więcej światła[-]"
uiPlayerEffects,"Efekty"
uiPlayerPreview,"Podgląd postaci"
uiPlayerHidePreview,"Ukryj postać"
uiPlayerStats,"Statystyki"
uiPlayerStatsCore,"Podstawowe statystyki"
uiPlayerStatsMore,"Więcej szczegółów"
uiPlayerStatsLess,"Ukryj szczegóły"
uiPlayerStatsAdvanced,"Zaawansowane statystyki"
uiPowerOutput,"Wyjście energii"
uiPowerRemainingFuel,"Pozostałe paliwo"
uiPowerUsed,"Użyta Energia"
uiPrefabName,"Nazwa prefabu"
uiPricePrefix,"$"
uiPrimaryMaterial,"Materiał podstawowy"
uiQuality,"Jakość"
uiQuality1,"Z A W O D N Y"
uiQuality2,"P O W S Z E C H N Y"
uiQuality3,"P O R Z Ą D N Y"
uiQuality4,"R Z A D K I"
uiQuality5,"E P I C K I"
uiQuality6,"L E G E N D A R N Y"
uiQualityPrefix1,"ZAWODNY"
uiQualityPrefix2,"POWSZECHNY"
uiQualityPrefix3,"PORZĄDNY"
uiQualityPrefix4,"RZADKI"
uiQualityPrefix5,"EPICKI"
uiQualityPrefix6,"LEGENDARNY"
uiQuestsShared,"Udostępniono"
uiRadiation,"Napromieniowanie"
uiRayHitBlockName,"Nazwa bloku"
uiRayHitTileEntity,"Nazwa istoty"
uiRefreshServerList,"Odśwież"
uiRepair,"Napraw"
uiRepairable,"Można naprawić"
uiRepairCost,"Koszt naprawy"
uiRepairItem,"Napraw"
uiRequires,"Wymaga"
uiRequiredMaterials,"Wymagane materiały"
uiRequiredTool,"Wymagane narzędzie"
uiResistance,"Odporność"
uiResistances,"Odporności"
uiRestrictedArea,"Teren zastrzeżony"
uiRetrievableComponents,"Odzyskiwalne komponenty"
uiRunning,"Bieganie"
uiScrapped,"Zezłomowane"
uiScrappedIn,"Do zezłomowania w "
uiScrapMaterial,"Zezłomuj"
uiSearch,"Szukaj"
uiServerFilters,"Filtry"
uiServers,"Serwery"
uiServiceInfo,"Informacje"
uiSettings,"Ustawienia"
uiShowOnMap,"Pokaż na mapie"
uiSignEdit,"Edytuj tekst"
ui_skill_buy,"Poziom wyżej"
ui_skill_cost,"Koszt wyższego poziomu"
ui_skill_exp,"Doświadczenie"
ui_skill_level,"Aktualny poziom"
ui_skill_points,"Punkty umiejętności"
uiSkillPoint,"Punkt umiejętności"
uiSkillPoints,"Punkty umiejętności"
ui_skill_points_available,"Dostępne punkty umiejętności"
uiSkillPointsName,"Punkty umiejętności"
uiSkillBuy,"Poziom wyżej"
uiSkillPointShort,"PKT"
uiSkillPointsShort,"PKT"
uiSortName,"Sortuj wg. nazwy (Rosnąco)"
uiSortGroup,"Sortuj wg. typu (Rosnąco)"
uiSortPrice,"Sortuj wg. ceny (Malejąco)"
uiSortWeight,"Sortuj wg. wagi (Malejąco)"
uiSPCostNext,"Następny poziom: "
uiSpeedKMH," km/h"
uiSpeedMPH," mph"
uiStats,"Statystyki"
uiStorage,"Bagaż"
uiStorageCompartment,"Miejsce"
uiStorageCompartments,"Miejsca"
uiTabPersonal,"Osobiste"
uiTabShared,"Udostępnione"
uiTeleportEW,"X (Wsch/Zach)"
uiTeleportNS,"Z (Płn/Płd)"
uiTimeDay,"{0} dzień"
uiTimeDays,"{0} dni"
uiTimeHour,"{0} h"
uiTimeHours,"{0} h"
uiTimeMinute,"{0} min"
uiTimeMinutes,"{0} min"
uiTimeSecond,"{0} s"
uiTimeSeconds,"{0} s"
uiTimedProcessMining,"\n[decea3]Kopanie ({1}, {0}%)[-]"
uiTimedProcessGrowing,"\n[decea3]Rośnie ({1}, {0}%)[-]"
uiTimedProcessGathering,"\n[decea3]Zbieranie ({1}, {0}%)[-]"
uiToggleSearch,"Wyszukaj"
uiTotal,"Razem: {0}"
uiTraps,"Pułapki"
uiTransferAll,"Przenieś wszystko do schowka"
uiTransferAllToBag,"Weź wszystko"
uiTransferStackables,"Uzupełnij stosy w schowku"
uiTransferStackablesToBag,"Uzupełnij stosy w plecaku"
uiType,"Typ"
uiUpgrade,"Ulepsz"
uiUpgradeChance,"Szansa na ulepszenie"
uiUpgradeCost,"Koszt ulepszenia"
uiUpgradeFail,"[FF1919]Ulepszenie się nie powiodło[-]"
uiUpgradeMax,"Nie możesz już tego ulepszyć"
uiUpgradeSuccess,"[73E9B2]Ulepszenie powiodło się[-]"
uiUpgradeRemoveMods,"[decea3]Nie można ulepszyć z zainstalowanymi dodatkami[-]"
uiUpgradeRequiresRepairs,"[decea3]Przedmiot musi być naprawiony[-]"
uiUnderwater,"Pod wodą"
uiUnlockedBy,"Do odblokowania przez"
uiUnknownIngredient,"Nieznany składnik"
uiUnlearned,"Nienauczone"
uiUnpinPinnedRecipe,"Odepnij przypięty przepis"
uiValue,"Wartość"
uiVehicleCargo,"Limit ładunku"
uiVehicleSeats,"Siedzenia"
uiVehicleSlots,"Ilość miejsca w bagażniku"
uiVehicleConsumption,"Spalanie"
uiVehicleFuelEfficiency,"Efektywność spalania"
uiVehicles,"Pojazdy"
uiVehicleSpeed,"Prędkość"
uiVehicleSpeedTurbo,"Prędkość (Turbo)"
uiVehicleTank,"Pojemność baku"
uiVersionNewAvailable,"Dostępna aktualizacja"
uiWalking,"Chodzenie"
uiWeaponsMelee,"Broń biała"
uiWeaponsMeleeAndTools,"Broń biała i narzędzia"
uiWeaponsRanged,"Bronie zasięgowe"
uiWeight,"Waga"
uiServerVersionMissmatch,"[ff0000]Wersja klienta nie jest zgodna z wersją serwera.[-]"
uiServerVersionUnknown,"[ff0000]Nieznana wersja[-]"
statAccuracy,"Dokładność"
statAlcohol,"Alkohol"
statAlcoholMax,"Max alkohol"
statArmorRating,"Pancerz"
statAttackSpeed,"Prędkość ataku"
statAttacksPerMinute,"Prędkość ataku wręcz"
statBlockDamage,"Obrażenia bloków"
statBlocksLight,"Światło"
statCarbs,"Węglowodany"
statCarbsMax,"Max węglowodany"
statCondition,"Kondycja"
statCoreTemp,"Temperatura ciała"
statCraftingTier,"Poziom rzemieślniczy"
statCraftingTime,"Czas wytworzenia"
statCraftingSpeed,"Szybkość tworzenia"
statCurrentLife,"Aktualne życie"
statDamage,"Obrażenia"
statDeaths,"Zgony"
statDismemberChance,"Szansa na poćwiartowanie"
statDurability,"Wytrzymałość"
statDurabilityMax,"Max wytrzymałość"
statDurabilityUse,"Mnożnik wytrzymałości"
statEfficiency,"Wydajność"
statTravelled,"Przemierzono"
statDysenteryChance,"Ryzyko biegunki"
statEncumbered,"Obciązony"
statEncumbrance,"Obciążenie"
statEncumbranceBonus,"Dodatkowy limit obciążenia"
statExpRate,"Bonus dośw."
statExpToNextLevel,"Potrzebne dośw."
statFat,"Tłuszcz"
statFatMax,"Max tłuszcz"
statFireRate,"Szybkostrzelność"
statFood,"Jedzenie"
statFoodMax,"Max jedzenie"
statFoodRate,"Spalanie Kalorii"
statFuel,"Paliwo"
statGas,"Benzyna"
statHandling,"Obsługa"
statHealing,"Leczenie"
statHealth,"Życie"
statHealthMax,"Max życie"
statHealthRegen,"Regeneracja zdrowia"
statItemsCrafted,"Stworzone przedmioty"
statJumpStrength,"Wysokość skoku"
statKilledPlayers,"Zabici gracze"
statKilledZombies,"Zabite zombie"
statLoad,"Wczytaj"
statLockpicking,"Otwieranie zamków"
statLongestLife,"Najdłuższe życie"
statLootStage,"Etap łupów"
statMagazineSize,"Magazynek"
statMobility,"Mobilność"
statModificationSlots,"Sloty"
statPoisonChance,"Ryzyko zatrucia pokarmowego"
statPower,"Energia"
statPowerAttack,"Silny Atak"
statPowerEfficiency,"Wydajność energetyczna"
statProtein,"Białko"
statProteinMax,"Max białka"
statRange,"Zasięg"
statRecoil,"Odrzut"
statReloadSpeed,"Szybkość przeładowania"
statResistBleeding,"Odporność na krwawienie"
statResistCold,"Odporność na zimno"
statResistDiseases,"Odporność na choroby"
statResistFallDamage,"Redukcja obrażeń od upadku"
statResistHeat,"Odporność na gorąco"
statResistPhysical,"Odporność fizyczna"
statResistRadiation,"Odporność na promieniowanie"
statResistStun,"Odporność na oszołomienie"
statResistToxic,"Odporność na toksyny"
statRoundsPerMinute,"Szybkość ataku dystansowego"
statStamina,"Wytrzymałość"
statStaminaMax,"Max wytrzymałość"
statStaminaRegen,"Regeneracja wytrzym."
statStopsBleeding,"Zatrzymuje krwawienia"
statStopsLaceration,"Leczy rany cięte"
statStopsBrokenLimbs,"Leczy złamane kończyny"
statTreasureRadius,"Promień skarbu"
statVitamins,"Witaminy"
statVitaminsMax,"Max witaminy"
statWater,"Woda"
statWaterMax,"Max wody"
statWaterRate,"Utrata wody"
statWeight,"Udźwig"
statWeightMax,"Limit udźwigu"
statWellness,"Kondycja"
statWellnessMax,"Max kondycji"
statWellnessRate,"Ocena kondycji"
tt_belongs_to_other_player,"To należy do kogoś innego"
tt_empty_before_pickup,"To musi być puste przed podniesieniem."
tt_container_is_full,"Nie możesz dodać nic więcej."
tt_not_enough_substance,"Niewystarczająco aby zapełnić ten przedmiot."
tt_no_compatible_items,"Nie korzystam z odpowiedniego przedmiotu."
ttJunkDroneEmptySomeStorage,"Zabierz przedmioty z ostatniego rzędu ekwipunku drona by zmienić lub usunąć tą modyfikacje."
type1hAxes,"Jednoręczna siekiera"
type1hBlades,"Jednoręczne ostrze"
type1hBlunt,"Jednoręczna obuchowa"
type1hKnives,"Jednoręczny nóż"
type2hAxes,"Dwuręczny topór"
type2hMelee,"Dwuręczna broń biała"
type4x4,"Samochód | Pojazd"
typeadvBuilding,"Zaawansowane"
typeAmmo,"Amunicja"
typeAmmoWeapons,"Amunicja/Broń"
typeAmmunition,"Amunicja"
typeApparel,"Strój"
typeArmor,"Pancerz"
typeAutomotive,"Pojazdy"
typeBasics,"Podstawowe"
typeBatons,"Pałki"
typeBeams,"Belka"
typeBicycles,"Rower | Pojazd"
typeBladeLong,"Długie ostrze"
typeBladeShort,"Krótkie ostrze"
typeBlunt,"Obuchowe"
typeBluntLong,"Obuchowe długie"
typeBluntShort,"Obuchowe krótkie"
typeBlocks,"Blok"
typeBooks,"Książka"
typeBows,"Łuk"
typeBuilding,"Budynek"
typeBundles,"Pakiet przedmiotów"
typeCandy,"Cukierek"
typeCannedFood,"Żywność w puszcze"
typeCars,"Samochód | Pojazd"
typeCatwalks,"Wybieg"
typeCFChemicals,"Chemikalia"
typeCFDrinkCooking,"Napój"
typeCFFoodCooking,"Żywność"
typeChemicals,"Chemikalia"
typeChemicalComposite,"Kompozyt chemiczny"
typeClothing,"Ubranie"
typeClubs,"Pałka"
typeCollectors,"Kolekcjoner zasobów"
typeConsumables,"Użytkowe"
typeConstructionTools,"Narzędzia budowlane"
typeCookingTools,"Narzędzie do gotownia"
typeCorpses,"Ciała"
