Key,schinese
lootVehicleSecureLocked,[73E9B2][{0}][-] 使用 {1}{2}\n[808080](锁住的)[-]
lootVehicleSecureUnlocked,[73E9B2][{0}][-] 使用 {1}{2}\n[808080](解锁的)[-]
tooltipJammed,[73E9B2][{0}][-] 开启 {1}\n[808080](卡住的)[-]
tooltipLocked,[73E9B2][{0}][-] 开启 {1}\n[808080](锁住的)[-]
tooltipUnlocked,[73E9B2][{0}][-] 开启 {1}\n[808080](解锁的)[-]
useBlock,[73E9B2][{0}][-] 使用 {1}
editLabel,[73E9B2][{0}][-] 编辑标签
useElevator,[73E9B2][{0}][-] 前往 [808080]( {1}层)[-]
lootItem,[73E9B2][{0}][-] 拾取 {1}
tooltipInteract,[73E9B2][{0}][-] 使用 {1}
vendingMachineActivate,[73E9B2][{0}][-] 使用 {1}
useSwitchLightOff,[73E9B2][{0}][-] 关掉
useSwitchLightOn,[73E9B2][{0}][-] 打开
npcTooltipTalk,[73E9B2][{0}][-] 交谈 {1}
pickupCrops,[73E9B2][{{0}}][-] 收集 {0} {1}
pickupPrompt,[73E9B2][{{0}}][-] 拾取 {0}
xuiVendingWithOwner,自动售货机\n[808080]({0})[-]
xuiLockAmmo,开启
xuiUnlockAmmo,关闭
activeBlockPrompt,{0}\n[73E9B2](激活)[-]
inactiveBlockPrompt,{0}\n[808080](未激活)[-]
blockcommand_aim,瞄准
blockcommand_confirm,确认放置
blockcommand_do_nothing,什么都不做
blockcommand_fuel_add,添加到容器
blockcommand_fuel_take,从容器装满
blockcommand_repair,修理
blockcommand_pick1,开锁\n[808080](开锁器)[-]
blockcommand_pick2,开锁\n[808080](发夹)[-]
uiNull,
uiActionFillFrom,[73E9B2][{0}][-] 装填 {1}
uiActionFillTo,[73E9B2][{0}][-] 添加 {1}
uiActionTake,[73E9B2][{0}][-] 拿取 {1}
uiActionUse,[73E9B2][{0}][-] 使用 {1}
uiActionUntouched,\n[73E9B2](未触碰过)[-]
uiAll,全部
uiAllResearch,全部研究
uiAmmo,弹药
uiAmmoAndExplosives,弹药/炸药
uiAmmunition,弹药
uiArmor,护甲
uiAttention,专注
uiBackpack,背包
uiBasicCrafting,制作
uiBiomeName,生物群落名称
uiBloodMoon,血月
uiBlockName,{0}
uiBlockAndMaterialName,{1} / {0}
uiBooksSchematics,书和设计图
uiBuffs,状态
uiCantPickUpFuelNotEmpty,清空工作站燃料栏位！
uiCantPickUpInputNotEmpty,清空工作站输入栏位！
uiCantPickUpOutputNotEmpty,清空工作站输出栏位！
uiCantPickUpQueueNotEmpty,清空工作站队列！
uiCantPickUpToolsNotEmpty,清空工作站工具栏位！
uiClothing,服装
uiClothingAndArmor,服装和护甲
uiClothingArmorMods,服装/护甲模组
uiColorPickerHex,颜色 (Hex)
uiColorPickerRGB,颜色 (RGB)
uiConfirmPlacement,[73E9B2][{{0}}][-] 确认放置
uiContainer,容器
uiCopy,复制
uiCopyIDToClipboard,复制ID到剪贴板
uiCrafted,制作
uiCraftedIn,制作于
uiCraftingFuel,燃料
uiCraftingOutput,输出
uiCraftingQueue,队列
uiCraftingQueueAndOutput,队列/输出
uiCraftingTools,工具
uiCraftOutput,制作输出
uiCrouching,蹲伏
uiDescription,描述
uiDetails,详细信息
uiDifficulty,难度
ui_door_prefix,（
ui_door_suffix,）
ui_door_bottom,Bottom Door
ui_door_left,Left Door
ui_door_middle,Middle Door
ui_door_right,Right Door
ui_door_top,Top Door
ui_drawer_bottom,Bottom Drawer
ui_drawer_left,Left Drawer
ui_drawer_left_bottom,Left Bottom Drawer
ui_drawer_left_middle,Left Middle Drawer
ui_drawer_left_top,Left Top Drawer
ui_drawer_middle,Middle Drawer
ui_drawer_right,Right Drawer
ui_drawer_right_bottom,Right Bottom Drawer
ui_drawer_right_middle,Right Middle Drawer
ui_drawer_right_top,Right Top Drawer
ui_drawer_top,Top Drawer
ui_drawer_top_middle,Top Middle Drawer
uiExplosives,爆炸物
uiExplosivesAndMines,炸药和地雷
uiFeatureInProgress,正在开发的功能。\n可能不工作，什么都不做或部分工作。
uiFoodAndDrinks,食物和饮料
uiGameContinue,继续游戏
uiGameNew,新游戏
uiGameSettingsBasic,基本
uiGameSettingsAdvanced,高级
uiGameSettingsExpert,专家
uiGameSettingsMultiplayer,多人游戏
uiGrowing,成长
uiHeaderCrafting,制作
uiHeaderCharacter,人物
uiHeaderMap,地图
uiHeaderSkills,技能树
uiHeaderQuests,任务
uiHeaderJournal,日志
uiHeaderPlayers,玩家
uiHeaderCreative,创作
uiIngredientHave,", 拥有:"
uiIngredientInclModded,包括改装
uiIngredientNeed,\n需要:
uiIngredientRetrieve,\n可回收:
uiInspectLockSlot,锁定一个物品栏栏位
uiInspectStackSingle,一次丢弃一个物品
uiInspectStackSplit,按住并拖动，即可拿取半堆物品
uiInspectStackSwap,丢弃或交换一堆物品
uiInspectStackTake,按住并拖动，即可拿取一堆物品
uiInspectStackView,检查物品、配方或生效中的效果
uiInteractWithBlock,与{0}交互
uiInventory,物品栏
uiItemNotFound,缺少物品 [73E9B2]{0}[-]
uiItemRequired,需要 {0}
uiLevelShort,LVL
uiLockAutoPick,自动开锁
uiLockAutoPickChance,自动开锁的机率：[decea3]{0}%[-]
uiLockVeryEasy,非常容易
uiLockEasy,简单
uiLockAverage,一般
uiLockHard,困难
uiLockVeryHard,非常难
uiLockExtremelyHard,极度困难
uiLockImpossible,不可能的
uiLockpickingInsufficient,当前你的开锁等级[FF1919]{0}[-]，还不能打开[decea3]{1}[-]这个级别的锁。
uiLockpickingSkillLevel,开锁
uiLockpickingLockLevel,锁
uiLockpicksLeft,你还剩下[decea3]{0}个{1}[-]
uiLockpicksLeftNone,你的物品栏中没有任何[decea3]{0}[-]。
uiLockpicksTooltipKB,使用[73E9B2][{0}][-]或[73E9B2][{1}][-]键或按住[73E9B2][{2}][-]并在屏幕上拖动[73E9B2][鼠标指针][-]来移动[decea3]{3}[-]。按[73E9B2][{4}][-]尝试解锁。
uiLockpicksTooltipGP,使用[73E9B2][{0}][-]或[73E9B2][{1}][-]键移动[decea3]{2}[-]。按[73E9B2][{3}][-]尝试解锁。
uiMapBedroll,保存点
uiMapCursor,光标
uiMapInfo,信息
uiMapPlayer,位置
uiMapWaypoint,路点
uiMapWaypoints,路点
uiMapWaypointsPersonal,个人的
uiMapWaypointsShared,分享的
uiMaterial,材料
uiMax,最大
uiMiscellaneous,杂项
uiMissingIngredients,[decea3]缺少材料[-]
uiMissingScrapWires,你的物品栏中没有[decea3]废电线[-]
uiMods,模组
uiMovementSpeed,移动速度
uiMovementState,移动状态
uiNoPower,没有电源
uiNoSellPrice,没有卖价
uiNoUpgradesForBlock,物块无法升级
uiPatchNotes,最新更新
uiOr,或
uiPerkPoints,技能点
uiPlayerEffects,效果
uiPlayerPreview,人物预览
uiPlayerHidePreview,隐藏人物预览
uiPlayerStats,属性
uiPlayerStatsCore,主要属性
uiPlayerStatsMore,更多详情
uiPlayerStatsLess,隐藏详情
uiPlayerStatsAdvanced,进阶详情
uiPowerOutput,输出
uiPowerRemainingFuel,剩余燃料
uiPowerUsed,已用
uiPrefabName,预制名称
uiPricePrefix,$
uiPrimaryMaterial,主要材料
uiQuality,品质
uiQuality1,粗 糙
uiQuality2,普 通
uiQuality3,优 秀
uiQuality4,精 良
uiQuality5,史 诗
uiQuality6,传 说
uiQualityPrefix1,粗糙
uiQualityPrefix2,普通
uiQualityPrefix3,优秀
uiQualityPrefix4,精良
uiQualityPrefix5,史诗
uiQualityPrefix6,传说
uiQuestsShared,共享
uiRadiation,辐射
uiRayHitBlockName,块名
uiRayHitTileEntity,平铺实体
uiRepair,维修
uiRepairable,可修复
uiRepairCost,维修费用
uiRepairItem,修复
uiRequires,需要
uiRequiredMaterials,所需材料
uiRequiredTool,所需工具
uiResistance,抗性
uiResistances,抗性
uiRestrictedArea,禁区
uiRetrievableComponents,可回收组件
uiRunning,奔跑
uiScrapped,分解
uiScrappedIn,分解于 
uiScrapMaterial,废料
uiSearch,查找
uiServiceInfo,服务信息
uiSettings,设置
uiShowOnMap,在地图上显示
uiSignEdit,编辑文字
ui_skill_buy,升级
ui_skill_cost,升级费用
ui_skill_exp,技能经验
ui_skill_level,当前等级
ui_skill_points,技能点
uiSkillPoint,技能点
uiSkillPoints,技能点
ui_skill_points_available,可用技能点
uiSkillPointsName,技能点
uiSkillBuy,升级
uiSkillPointShort,点
uiSkillPointsShort,点
uiSortName,按名称排序（升序）
uiSortGroup,按类型排序（升序）
uiSortPrice,按价格排序（降序）
uiSortWeight,按重量排序（降序）
uiSPCostNext,下一级：
uiSpeedKMH,公里/小时
uiSpeedMPH,英里/小时
uiStats,统计信息
uiStorage,储物箱
uiStorageCompartment,区域
uiStorageCompartments,区域
uiTabPersonal,个人的
uiTabShared,分享的
uiTeleportEW,X (E/W)
uiTeleportNS,Z (N/S)
uiToggleSearch,切换搜索
uiTotal,总计：{0}
uiTraps,陷阱
uiTransferAll,将所有物品\n从背包移至容器中
uiTransferAllToBag,拿走所有
uiTransferStackables,将所有可堆叠的物品\n从背包移至容器中
uiTransferStackablesToBag,拿走所有可堆叠的物品
uiType,类型
uiUpgrade,升级
uiUpgradeChance,升级机会
uiUpgradeCost,升级费用
uiUpgradeFail,[FF1919]升级失败[-]
uiUpgradeMax,无法进一步升级
uiUpgradeSuccess,[73E9B2]升级成功[-]
uiUpgradeRemoveMods,[decea3]在安装了模组的情况下无法升级[-] 
uiUpgradeRequiresRepairs,[decea3]物品必须先进行修理[-]
uiUnderwater,水下
uiUnlockedBy,解锁于
uiUnknownIngredient,未知材料
uiUnlearned,需要学习
uiUnpinPinnedRecipe,取消查看配方
uiValue,价值
uiVehicleCargo,货运量
uiVehicleSeats,座位
uiVehicleSlots,货物栏位
uiVehicleConsumption,油耗
uiVehicleFuelEfficiency,燃油效率
uiVehicles,载具
uiVehicleSpeed,速度
uiVehicleSpeedTurbo,涡轮速度
uiVehicleTank,油箱
uiVersionNewAvailable,有可用更新
uiWalking,步行
uiWeaponsMelee,近战武器
uiWeaponsMeleeAndTools,近战武器和工具
uiWeaponsRanged,远程武器
uiWeight,重量
uiServerVersionMissmatch,Undead Legacy本地版本与服务器版本不匹配
uiServerVersionUnknown,[ff0000]未知[-]
statAccuracy,精密
statAlcohol,酒精
statAlcoholMax,最大酒精含量
statArmorRating,护甲等级
statAttackSpeed,攻击速度
statAttacksPerMinute,近战攻速
statBlockDamage,物块伤害
statBlocksLight,阻挡光线
statCarbs,碳水化合物
statCarbsMax,最大碳水化合物含量
statCondition,状态
statCoreTemp,体温
statCraftingTier,制作等级
statCraftingTime,制作时间
statCraftingSpeed,制作速度
statCurrentLife,当前生存
statDamage,伤害
statDeaths,死亡
statDismemberChance,肢解几率
statDurability,耐久
statDurabilityMax,最大耐久
statDurabilityUse,耐久磨损倍增器
statEfficiency,效率
statTravelled,旅程
statDysenteryChance,痢疾的风险
statEncumbered,负重
statEncumbrance,超重
statEncumbranceBonus,额外携带上限
statExpRate,经验奖励
statExpToNextLevel,升级所需经验
statFat,脂肪
statFatMax,最大脂肪含量
statFireRate,射速
statFood,饥饿值
statFoodMax,最大饥饿值
statFoodRate,食物消耗率
statFuel,燃料
statGas,汽油
statHandling,处理方式
statHealing,康复
statHealth,生命值
statHealthMax,最大生命值
statHealthRegen,生命值再生
statItemsCrafted,已制作物品
statJumpStrength,跳跃高度
statKilledPlayers,击杀玩家
statKilledZombies,击杀丧尸
statLoad,加载
statLockpicking,开锁
statLongestLife,最长生存
statLootStage,搜刮等级
statMagazineSize,弹匣
statMobility,移动速度
statModificationSlots,栏位
statPoisonChance,食物中毒的风险
statPower,功率
statPowerEfficiency,电源效率
statProtein,蛋白质
statProteinMax,最大蛋白质含量
statRange,范围
statRecoil,畏缩
statReloadSpeed,装弹速度
statResistBleeding,流血抗性
statResistCold,寒冷抗性
statResistDiseases,疾病抗性
statResistFallDamage,减少跌落伤害
statResistHeat,炎热抗性
statResistPhysical,物理抗性
statResistRadiation,辐射抗性
statResistStun,眩晕抗性
statResistToxic,毒药抗性
statRoundsPerMinute,远程攻击速度
statStamina,体力值
statStaminaMax,最大体力值
statStaminaRegen,体力值再生
statStopsBleeding,停止流血
statStopsLaceration,停止裂伤
statStopsBrokenLimbs,愈合断肢
statTreasureRadius,宝藏半径
statVitamins,维生素
statVitaminsMax,最大维生素含量
statWater,口渴值
statWaterMax,最大口渴值
statWaterRate,水消耗率
statWeight,负重
statWeightMax,负重上限
statWellness,健康
statWellnessMax,最大健康值
statWellnessRate,健康率
tt_belongs_to_other_player,不要拿别人的东西
tt_empty_before_pickup,拾取之前先清空它。
tt_container_is_full,满了，不能再添加了。
tt_not_enough_substance,还不足以填满。
tt_no_compatible_items,我手里没有合适的容器。
type1hAxes,单手斧
type1hBlades,单手剑
type1hBlunt,单手钝器
type1hKnives,单手小刀
type2hAxes,单手斧
type2hMelee,双手近战
type4x4,汽车 | 载具
typeadvBuilding,高级
typeAmmo,弹药
typeAmmoWeapons,弹药/武器
typeAmmunition,弹药
typeApparel,服装
typeArmor,护甲
typeAutomotive,汽车
typeBasics,基本的
typeBatons,棒子
typeBeams,梁
typeBicycles,自行车 | 载具
typeBladeLong,长刃
typeBladeShort,短刃
typeBlunt,钝器
typeBluntLong,长钝器
typeBluntShort,短钝器
typeBlocks,物块
typeBooks,书
typeBows,弓
typeBuilding,建筑
typeBundles,物品组合
typeCandy,糖果
typeCannedFood,罐头食品
typeCars,汽车 | 载具
typeCatwalks,猫道
typeCFChemicals,化学制品
typeCFDrinkCooking,饮料
typeCFFoodCooking,食物
typeChemicals,化工
typeChemicalComposite,化学复合材料
typeClothing,服装
typeClubs,棒子
typeCollectors,资源收集器
typeConsumables,消耗品
typeConstructionTools,建造工具
typeCookingTools,烹饪工具
typeCorpses,尸体
typeCraftingMisc,制作/其他
typeCrops,耕种作物
typeCrossbows,弩
typeCutting,砍伐 | 采矿
typeDebris,残骸
typeDecorMiscellaneous,其他
typeDecor,装饰
typeDecorative,装饰
typeDigging,挖掘
typeDiggingTools,挖掘工具
typeDoors,门
typeDrinks,饮品
typeDrugs,药品
typeDyeMods,饰品染色剂
typeElectrical,电气
typeElectricalTools,电气布线工具
typeExplosives,爆炸物
typeFirearms,枪械
typeFistWeapons,拳套
typeFood,食物
typeFoodCooking,食物/烹饪
typeFurniture,家具/装饰
typeGrenades,手雷
typeGun,枪
typeGuns,枪
typeGyroCopters,旋翼机 | 载具
typeHandTools,手动工具
typeHealth,生命值
typeHeavyArmor,重甲
typeHelicopters,直升机|载具
typeItem,物品
typeJunk,垃圾
typeKnives,小刀
typeLandMines,地雷 | 建筑
typeLaunchers,发射器
typeLightArmor,轻甲
typeLighting,照明
typeLoot,容器
typeMedical,药物
typeMedicine,药物
typeMediumArmor,中甲
typeMelee,近战
typeMeleeTools,近战工具
typeMeleeWeapons,近战武器
typeMachineGuns,机枪
typeMinesExplosives,地雷/炸药
typeMinibikes,摩托车 | 载具
typeMotorcycles,摩托车 | 载具
typeChoppingTools,伐木工具
typeMaintenance,维修和升级工具
typeMiningTools,挖矿工具
typeMissions,任务物品
typeMisc,杂项
typeMods,物品模组
typePainting,绘画
typePaintingTools,绘画工具
typePistols,手枪
typePlumbing,水管
typePolearms,长柄
typePortableDrones,便携式无人机
typePortableTurrets,便携式炮塔
typePowered,电动
typePoweredCutting,电动切割工具
typePoweredDigging,电动挖掘工具
typePoweredMining,电动采矿工具
typePoweredMiningDigging,电动采矿/挖掘工具
typeResearch,研究
typeQuality,质量
typeQualitySchematics,质量研究
typeRanged,远程
typeRangedGuns,枪
typeRangedWeapons,远程武器
typeRecipes,配方
typeResources,资源
typeRoadProps,道路装饰
typeRocketLaunchers,火箭发射器
typeSalvage,回收
typeSalvageTools,回收工具
typeScavenging,搜刮
typeSchematics,设计图
typeScience,科学
typeSeeds,作物种子
typeSecretStash,秘密藏匿处
typeShortBlade,短刃
typeShotguns,霰弹枪
typeSigns,标志
typeSkillBooks,技能书
typeSledgehammers,大锤
typeSmeltingTools,熔炉工具
typeSniperRifles,狙击步枪
typeSpawnPoint,刷新点
typeSpears,矛
typeSpecial,特殊物品
typeSpecialItems,任务物品
typeStairs,楼梯
typeStorage,储物箱
typeStorageEmpty,空的储物箱
typeStorageTanks,储物罐
typeStructural,结构
typeSubmachineGuns,冲锋枪
typeSupport,支撑
typeSwords,剑刃
typeTerrain,地形
typeThrowable,可投掷
typeThrowableExplosive,可投掷炸药
typeToolParts,工具组件
typeTools,工具
typeToolsTraps,工具/陷阱
typeTrade,交易
typeTraps,陷阱
typeTrees,树
typeTrucks,卡车 | 载具
typeVehicles,载具
typeVents,通风管
typeWeapons,武器
typeWeaponsTools,武器/工具
typeWorkstations,工作站
typeWorkstationTools,工作站工具
twitchBounty,赏金
headerDisplay,显示
headerQuality,质量
headerUI,用户界面
headerVideo,视频设置
groupAll,所有
groupAllBlocks,所有物块
groupAmmo,弹药
groupAmmoPortableTurret,便携式炮塔弹药
groupAmmoPrimitive,简单弹药
groupAmmoStandard,标准弹药
groupAmmoWeapons,弹药/武器
groupAmmoAndExplosives,弹药和炸药
groupAppliances,家电
groupAutomotive,汽车
groupBasics,基本
groupBasicBlocks,基础物块
groupBars,栅栏和桁架
groupBeams,梁
groupBlocks,物块
groupBooks,书
groupBooksAndSchematics,书和设计图
groupBuilding,建造
groupBundles,组合包
groupCatwalks,猫道
groupChemicals,药品
groupClothing,服装
groupClothingAndArmor,服装和护甲
groupCollectors,资源收集器
groupConsumables,消耗品
groupContainers,容器
groupCorpses,尸体
groupCrops,农作物
groupDebris,残骸
groupDecor,装饰品
groupDecorMisc,装饰/其他
groupDoors,门
groupDrinks,饮料
groupDyes,染料
groupElectrical,电器
groupExplosives,炸药
groupFences,栅栏
groupFirstAid,急救包
groupFrames,方框
groupFoliage,叶子
groupFood,食物
groupFoodCooking,食物/烹饪
groupFurniture,家具
groupGrenades,手雷
groupHeroTreasure,财宝
groupHeavyArmor,重甲
groupItems,物品
groupLightArmor,轻甲
groupLighting,照明
groupLoot,容器
groupLootHelper,搜刮助手
groupMedicine,药品
groupMediumArmor,中甲
groupMinesExplosives,地雷/炸药
groupMods,模组
groupOutdoor,户外
groupPlumbing,水管
groupPrefabBlocks,POI物块
groupPrefabEditor,预制物品编辑器
groupRangedWeapons,远程武器
groupResources,资源
groupRoadProps,道路装饰
groupRobotics,机器人
groupScience,科学
groupSchematics,设计图
groupSeeds,种子
groupShrubs,灌木
groupSigns,标志
groupSpecial,特殊物体
groupStairs,楼梯
groupStorage,容器
groupStorageEmpty,空的容器
groupStorageHelpers,容器助手
groupStorageTanks,储存罐
groupStructural,结构
groupSupport,支撑
groupTerrain,地形
groupTools,工具
groupToolsTraps,工具/陷阱
groupTraps,陷阱
groupTrash,垃圾
groupTrees,树木
groupUnclassified,未分类的
groupVariantHelpers,变体助手
groupVegetation,植物
groupVehicles,载具
groupVents,通风管
groupWeapons,武器
groupWeaponsTools,武器和工具
groupWindows,窗户
groupWorkstations,工作站
groupWorkstationTools,工作站工具
ulm_loot_biker_1,掉落的战利品
ulm_loot_biker_2,掉落的战利品
ulm_loot_biker_3,掉落的战利品
ulm_loot_boss_1,掉落的战利品
ulm_loot_boss_2,掉落的战利品
ulm_loot_boss_3,掉落的战利品
ulm_loot_burnt_1,掉落的战利品
ulm_loot_burnt_2,掉落的战利品
ulm_loot_burnt_3,掉落的战利品
ulm_loot_business_1,掉落的战利品
ulm_loot_business_2,掉落的战利品
ulm_loot_business_3,掉落的战利品
ulm_loot_cheerleader_1,掉落的战利品
ulm_loot_cheerleader_2,掉落的战利品
ulm_loot_cheerleader_3,掉落的战利品
ulm_loot_common_1,掉落的战利品
ulm_loot_common_2,掉落的战利品
ulm_loot_common_3,掉落的战利品
ulm_loot_cop_1,掉落的战利品
ulm_loot_cop_2,掉落的战利品
ulm_loot_cop_3,掉落的战利品
ulm_loot_farmer_1,掉落的战利品
ulm_loot_farmer_2,掉落的战利品
ulm_loot_farmer_3,掉落的战利品
ulm_loot_fat_1,掉落的战利品
ulm_loot_fat_2,掉落的战利品
ulm_loot_fat_3,掉落的战利品
ulm_loot_football_1,掉落的战利品
ulm_loot_football_2,掉落的战利品
ulm_loot_football_3,掉落的战利品
ulm_loot_hazmat_1,掉落的战利品
ulm_loot_hazmat_2,掉落的战利品
ulm_loot_hazmat_3,掉落的战利品
ulm_loot_lab_1,掉落的战利品
ulm_loot_lab_2,掉落的战利品
ulm_loot_lab_3,掉落的战利品
ulm_loot_mini_boss_1,掉落的战利品
ulm_loot_mini_boss_2,掉落的战利品
ulm_loot_mini_boss_3,掉落的战利品
ulm_loot_nurse_1,掉落的战利品
ulm_loot_nurse_2,掉落的战利品
ulm_loot_nurse_3,掉落的战利品
ulm_loot_snow_1,掉落的战利品
ulm_loot_snow_2,掉落的战利品
ulm_loot_snow_3,掉落的战利品
ulm_loot_skater_1,掉落的战利品
ulm_loot_skater_2,掉落的战利品
ulm_loot_skater_3,掉落的战利品
ulm_loot_soldier_1,掉落的战利品
ulm_loot_soldier_2,掉落的战利品
ulm_loot_soldier_3,掉落的战利品
ulm_loot_special_1,掉落的战利品
ulm_loot_special_2,掉落的战利品
ulm_loot_special_3,掉落的战利品
ulm_loot_stripper_1,掉落的战利品
ulm_loot_stripper_2,掉落的战利品
ulm_loot_stripper_3,掉落的战利品
ulm_loot_utility_1,掉落的战利品
ulm_loot_utility_2,掉落的战利品
ulm_loot_utility_3,掉落的战利品
videoAntiAliasing,抗锯齿
videoAntiAliasingDesc,从对象上除去锯齿状的边缘。
videoAntiAliasingSharp,AA 锐化
videoAntiAliasingSharpDesc,暂时性AA的锐化量。\n[decea3][性能影响：中等][-]
videoBloom,光晕
videoBloomDesc,高光处带有辉光。\n[decea3] [性能影响：中等] [-]
videoDepthOfField,景深
videoDepthOfFieldDesc,远处物体变得模糊。\n[decea3] [性能影响：中等] [-]
videoDynamicMeshDistance,网格距离
videoDynamicMeshDistanceDesc,可以查看动态网格系统渲染的距离，单位是米。[decea3][性能影响：高][-]
videoDynamicMeshEnabled,动态网格
videoDynamicMeshEnabledDesc,当启用时，玩家和POI物块的变化将显示在距离中。需要从主菜单重新加载游戏。[decea3][性能影响：中][-]
videoDynamicMeshHighQualityMesh,动态网格选项
